ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
632	AT4G02430		chr4	+	1071273	1071674	1071284	1071674	1070656	1070886	632	73,79	35,37	27,57	51,89	110	99	6.71184665181e-05	0.0154625826911655	0.652,0.658	0.323,0.366	0.31
757	AT3G51075		chr3	-	18971490	18971828	18971490	18971628	18971945	18972307	757	15,7	5,3	26,36	0,1	299	99	6.2570772289e-05	0.0154625826911655	0.498,0.436	1.0,0.923	-0.495
979	AT1G07270		chr1	-	2229886	2229990	2229886	2229976	2230108	2230204	979	1,0	1,2	2,2	0,1	113	99	0.000210736345086	0.038529628426557	0.467,0.0	1.0,0.637	-0.585
996	AT3G45020		chr3	-	16469859	16469901	16469859	16469898	16470080	16470199	996	0,1	5,4	2,2	0,0	102	99	5.93021076689e-10	1.301088242255666e-06	0.0,0.195	1.0,1.0	-0.902
1200	AT1G10590		chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1200	10,20	51,69	13,16	0,5	144	99	1.04462161377e-06	0.00085735920765	0.119,0.166	1.0,0.688	-0.702
1288	AT1G08220		chr1	-	2582796	2582865	2582796	2582860	2582997	2583038	1288	11,13	58,41	6,12	3,4	104	99	5.81741578656e-05	0.0154625826911655	0.153,0.232	0.656,0.741	-0.506
1627	AT1G05870		chr1	-	1771386	1771814	1771386	1771757	1771891	1771954	1627	53,57	1,2	30,35	12,11	156	99	7.04766758941e-05	0.0154625826911655	0.971,0.948	0.613,0.669	0.319
1687	AT4G11900		chr4	-	7150629	7150942	7150629	7150780	7151059	7151297	1687	1,5	16,14	21,34	13,13	261	99	4.08155992712e-05	0.0149249041335021	0.023,0.119	0.38,0.498	-0.368
1948	AT1G60545		chr1	+	22303963	22304128	22303978	22304128	22302305	22303894	1948	3,11	3,1	1,0	4,6	114	99	2.86598352952e-05	0.0125759357275337	0.465,0.905	0.178,0.0	0.596
2235	AT2G32700		chr2	+	13870116	13870261	13870122	13870261	13869710	13869938	2235	254,255	219,217	54,89	126,244	105	99	8.1286778818e-06	0.0044585798181673	0.522,0.526	0.288,0.256	0.252
