ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781
1	"AT5G67590"	NA	chr5	+	26958651	26958781	26957914	26958231	26958962	26958992
3	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511
4	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914
5	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558
6	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781
7	"AT5G65940"	NA	chr5	-	26378842	26378911	26378717	26378781	26378975	26379056
9	"AT5G65210"	NA	chr5	+	26059788	26059852	26059622	26059700	26059934	26060206
10	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003
11	"AT5G65060"	NA	chr5	+	25990613	25990655	25990283	25990325	25990963	25991312
13	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052
15	"AT5G63960"	NA	chr5	+	25602104	25602176	25601946	25602013	25602252	25602339
16	"AT5G63930"	NA	chr5	+	25583081	25585937	25581838	25582015	25586015	25586630
17	"AT5G63800"	NA	chr5	+	25532590	25532703	25532384	25532480	25532786	25532946
24	"AT5G62575"	NA	chr5	+	25118053	25118156	25117686	25117755	25118494	25118735
25	"AT5G62480"	NA	chr5	-	25089239	25089292	25088568	25089170	25089373	25089603
26	"AT5G62480"	NA	chr5	-	25089239	25089295	25088526	25089170	25089373	25089626
31	"AT5G61250"	NA	chr5	-	24634243	24634280	24633981	24634165	24634381	24634621
32	"AT5G60360"	NA	chr5	+	24281115	24281189	24280861	24280977	24281299	24281564
33	"AT5G66180"	NA	chr5	+	26450357	26450425	26450136	26450271	26450523	26450585
34	"AT5G59960"	NA	chr5	-	24143313	24143368	24143138	24143239	24143444	24143501
35	"AT5G59960"	NA	chr5	-	24143837	24143883	24143444	24143501	24144140	24144223
36	"AT5G59710"	NA	chr5	+	24058084	24058171	24057377	24057584	24058279	24058388
37	"AT5G59710"	NA	chr5	+	24060244	24060333	24059857	24059956	24060435	24060516
40	"AT5G58800"	NA	chr5	-	23746869	23746937	23746340	23746700	23747187	23747273
41	"AT5G58800"	NA	chr5	-	23746869	23746943	23746340	23746700	23747187	23747274
42	"AT5G58160"	NA	chr5	+	23538044	23538126	23537908	23537959	23538199	23538294
43	"AT5G58100"	NA	chr5	+	23510794	23510865	23510556	23510675	23511442	23511548
44	"AT5G58000"	NA	chr5	+	23478489	23478564	23478298	23478401	23478651	23478799
45	"AT5G57960"	NA	chr5	-	23465534	23465651	23465144	23465259	23465806	23465949
46	"AT5G56950"	NA	chr5	+	23034843	23034861	23034545	23034747	23035230	23035693
47	"AT5G56870"	NA	chr5	+	23005146	23005213	23004928	23005041	23005320	23005413
50	"AT5G54290"	NA	chr5	+	22051513	22051645	22051036	22051169	22051836	22051895
51	"AT5G53530"	NA	chr5	-	21748153	21748192	21747978	21748053	21748463	21748719
55	"AT5G53140"	NA	chr5	+	21551632	21551707	21551408	21551500	21551793	21552559
56	"AT5G53080"	NA	chr5	+	21521515	21521666	21521169	21521428	21521755	21521978
57	"AT5G53045"	NA	chr5	-	21509007	21509080	21508849	21508905	21509482	21509609
59	"AT5G53020"	NA	chr5	+	21499290	21499440	21498422	21498605	21499888	21500829
60	"AT5G53010"	NA	chr5	-	21490162	21490300	21489956	21490060	21490445	21490544
62	"AT5G53010"	NA	chr5	-	21494982	21495052	21494804	21494875	21495320	21495410
63	"AT5G52920"	NA	chr5	+	21466324	21466433	21466099	21466248	21466504	21466880
64	"AT5G52070"	NA	chr5	+	21162074	21162208	21161222	21161353	21163578	21163648
65	"AT5G52070"	NA	chr5	+	21162095	21162208	21161131	21161353	21163578	21163648
66	"AT5G52070"	NA	chr5	+	21162095	21162208	21161131	21161353	21163726	21163968
67	"AT5G52070"	NA	chr5	+	21163578	21163648	21161131	21161353	21163726	21163968
69	"AT5G52070"	NA	chr5	+	21163578	21163968	21162095	21162208	21164079	21164196
70	"AT5G52070"	NA	chr5	+	21163726	21163968	21162095	21162208	21164079	21164196
71	"AT5G53350"	NA	chr5	+	21645344	21645395	21645163	21645243	21645489	21645564
73	"AT5G49730"	NA	chr5	-	20203457	20203692	20202957	20203285	20203778	20203976
74	"AT5G49390"	NA	chr5	+	20027353	20027415	20026901	20026988	20027587	20027665
76	"AT5G48640"	NA	chr5	-	19725196	19725236	19724984	19725029	19725386	19725493
77	"AT5G48545"	NA	chr5	+	19677544	19677600	19676967	19677034	19677693	19677747
78	"AT5G47690"	NA	chr5	+	19322567	19322627	19322314	19322464	19322759	19322896
80	"AT5G47520"	NA	chr5	-	19278564	19278654	19278026	19278439	19278723	19278791
85	"AT5G47080"	NA	chr5	-	19125769	19125979	19125515	19125625	19126159	19126611
86	"AT5G47080"	NA	chr5	-	19125769	19125988	19125515	19125610	19126159	19126569
87	"AT5G47080"	NA	chr5	-	19125769	19125988	19125515	19125625	19126159	19126569
88	"AT5G46210"	NA	chr5	-	18735810	18735926	18735378	18735725	18736406	18736815
91	"AT5G45510"	NA	chr5	+	18445186	18448755	18444606	18444846	18449020	18449446
93	"AT5G45310"	NA	chr5	-	18360060	18360240	18359274	18359987	18360532	18360820
94	"AT5G45000"	NA	chr5	+	18166038	18166145	18165335	18165908	18166244	18166746
95	"AT5G44750"	NA	chr5	+	18053375	18053491	18053044	18053189	18053567	18053644
96	"AT5G44750"	NA	chr5	+	18057537	18057606	18057124	18057197	18057747	18057846
97	"AT5G44572"	NA	chr5	+	17969010	17969106	17968091	17968300	17969271	17970342
99	"AT5G44480"	NA	chr5	+	17921387	17921575	17920455	17920785	17921647	17921772
100	"AT5G44480"	NA	chr5	+	17921468	17921575	17920455	17920785	17921647	17921772
101	"AT5G44450"	NA	chr5	-	17915118	17915229	17914922	17915024	17915319	17915378
105	"AT5G62650"	NA	chr5	-	25154916	25154958	25154709	25154837	25155045	25155125
106	"AT5G66290"	NA	chr5	-	26478206	26478318	26478082	26478102	26478692	26478781
107	"AT5G66290"	NA	chr5	-	26479048	26479133	26478692	26478781	26479225	26479312
108	"AT5G49360"	NA	chr5	-	20015383	20015665	20013900	20014070	20016239	20016857
112	"AT5G42470"	NA	chr5	+	16983630	16983761	16983441	16983543	16983849	16983898
113	"AT5G42250"	NA	chr5	+	16895212	16895259	16894243	16894380	16895884	16896213
114	"AT5G41960"	NA	chr5	+	16790288	16790368	16789972	16790194	16790492	16790545
115	"AT5G41700"	NA	chr5	+	16676053	16676141	16675722	16675890	16676491	16676619
116	"AT5G41690"	NA	chr5	-	16674167	16674230	16674001	16674075	16674361	16674493
117	"AT5G41220"	NA	chr5	-	16496445	16496499	16496277	16496357	16496573	16496634
118	"AT5G41220"	NA	chr5	-	16496573	16496634	16496445	16496499	16496749	16496823
119	"AT5G41120"	NA	chr5	-	16458481	16458537	16458244	16458403	16458685	16458737
121	"AT5G40870"	NA	chr5	+	16376398	16376478	16376108	16376205	16376790	16376985
123	"AT5G40440"	NA	chr5	+	16183234	16183402	16182998	16183136	16183479	16183593
124	"AT5G40280"	NA	chr5	+	16102637	16102720	16102244	16102280	16102816	16102870
125	"AT5G40210"	NA	chr5	-	16074470	16074663	16074202	16074364	16075445	16075559
127	"AT5G53170"	NA	chr5	-	21563281	21563335	21562717	21563172	21563430	21563520
128	"AT5G38290"	NA	chr5	+	15303594	15303812	15303322	15303494	15303906	15303991
129	"AT5G38290"	NA	chr5	+	15303906	15303991	15303322	15303494	15304082	15304150
130	"AT5G38290"	NA	chr5	+	15304895	15304954	15304415	15304489	15305037	15305114
131	"AT5G38220"	NA	chr5	+	15270377	15270425	15270063	15270300	15270747	15271166
134	"AT5G37480"	NA	chr5	-	14885496	14885551	14885143	14885378	14885806	14885969
136	"AT5G37380"	NA	chr5	-	14819034	14819105	14816760	14818457	14819191	14819346
139	"AT5G36890"	NA	chr5	-	14542763	14542866	14542477	14542586	14542983	14543018
140	"AT5G36180"	NA	chr5	+	14239820	14239943	14239434	14239731	14240035	14240138
143	"AT5G35400"	NA	chr5	-	13601342	13601488	13601016	13601108	13601608	13601793
144	"AT5G35400"	NA	chr5	-	13601894	13602000	13601608	13601793	13602172	13602269
145	"AT5G54200"	NA	chr5	-	21994742	21994794	21994572	21994655	21994885	21995043
146	"AT5G54200"	NA	chr5	-	21995308	21995399	21994885	21995043	21995636	21997326
148	"AT5G43750"	NA	chr5	-	17580477	17580536	17579866	17580330	17580615	17580678
150	"AT5G65430"	NA	chr5	-	26149375	26149498	26148381	26148803	26149769	26150342
151	"AT5G28830"	NA	chr5	+	10857243	10857438	10856660	10857092	10857818	10858000
152	"AT5G28050"	NA	chr5	-	10045047	10045104	10044680	10044871	10045739	10046031
154	"AT5G27950"	NA	chr5	+	9986489	9986527	9986134	9986353	9986646	9986774
156	"AT5G27730"	NA	chr5	+	9821985	9822052	9821811	9821903	9822142	9822224
157	"AT5G27700"	NA	chr5	-	9807998	9808082	9807757	9807890	9808428	9808513
158	"AT5G27600"	NA	chr5	+	9744931	9745020	9744761	9744850	9745114	9745244
160	"AT5G54840"	NA	chr5	-	22277544	22277644	22276932	22277436	22277759	22277877
162	"AT5G26180"	NA	chr5	+	9149763	9149822	9149072	9149691	9149901	9149952
164	"AT5G25890"	NA	chr5	+	9034373	9034438	9033798	9034110	9034531	9035140
168	"AT5G25265"	NA	chr5	-	8755250	8755322	8754992	8755106	8755673	8755743
170	"AT5G24810"	NA	chr5	-	8522233	8522404	8521820	8522141	8522571	8522679
171	"AT5G24760"	NA	chr5	-	8495726	8495788	8495500	8495596	8495854	8495930
173	"AT5G24740"	NA	chr5	-	8487707	8487915	8487198	8487267	8488311	8488373
174	"AT5G24530"	NA	chr5	+	8381928	8382253	8379429	8379677	8382899	8383401
176	"AT5G24430"	NA	chr5	-	8342080	8342211	8341951	8341993	8342370	8343284
180	"AT5G24170"	NA	chr5	-	8190854	8190928	8189482	8190286	8191115	8191169
182	"AT5G23870"	NA	chr5	-	8047266	8047327	8047137	8047197	8047405	8047530
185	"AT5G23405"	NA	chr5	-	7883965	7884048	7883828	7883877	7884199	7884348
186	"AT5G23080"	NA	chr5	-	7746432	7746519	7746183	7746255	7746603	7746679
187	"AT5G23050"	NA	chr5	-	7732890	7732985	7732406	7732623	7733197	7733418
188	"AT5G23050"	NA	chr5	-	7733925	7733966	7733712	7733838	7734297	7734502
189	"AT5G22770"	NA	chr5	-	7580089	7580169	7579155	7579997	7580329	7580401
193	"AT5G21930"	NA	chr5	+	7244298	7244396	7243848	7243926	7244482	7244536
