ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
82	AT5G48520		chr5	+	19663926	19663984	19663929	19663984	19663712	19663794	82	14,11	79,93	38,37	36,61	102	99	0.000126629925038	0.0206859027544218	0.147,0.103	0.506,0.371	-0.314
735	AT3G54870		chr3	+	20333778	20333958	20333781	20333958	20333433	20333568	735	18,28	0,4	7,5	7,9	102	99	6.90658631224e-05	0.0157953628960928	1.0,0.872	0.493,0.35	0.514
923	AT1G72640		chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	923	133,167	278,384	150,130	944,1152	102	99	4.39832389495e-05	0.0143699524967866	0.317,0.297	0.134,0.099	0.191
1001	AT2G30740		chr2	+	13095593	13096492	13095636	13096492	13095322	13095484	1001	7,18	22,28	27,68	10,17	142	99	7.06325555755e-06	0.0040384163650292	0.182,0.309	0.653,0.736	-0.449
1217	AT1G10590		chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1217	11,26	51,104	17,22	6,10	144	99	1.21071924597e-07	0.0002768914915533	0.129,0.147	0.661,0.602	-0.493
1582	AT1G15280		chr1	+	5253545	5253751	5253548	5253751	5253287	5253387	1582	374,394	307,423	460,634	174,203	102	99	1.02761825772e-05	0.0047003259108112	0.542,0.475	0.72,0.752	-0.228
1753	AT4G03110		chr4	-	1377076	1377410	1377076	1377407	1377507	1377687	1753	184,284	127,163	331,346	60,77	102	99	5.45181449165e-05	0.0155853746780044	0.584,0.628	0.843,0.813	-0.222
1878	AT3G27260		chr3	+	10070618	10070726	10070645	10070726	10070299	10070372	1878	45,91	167,253	178,153	136,172	126	99	3.18621756369e-05	0.012144799280265	0.175,0.22	0.507,0.411	-0.261
1974	AT5G06265		chr5	+	1906563	1906766	1906566	1906766	1905778	1906424	1974	8,19	0,3	9,14	27,24	102	99	4.01172175146e-07	0.0004587403822794	1.0,0.86	0.244,0.362	0.627
1976	AT1G60545		chr1	+	22303963	22304128	22303978	22304128	22302305	22303894	1976	13,19	3,4	5,5	18,7	114	99	0.000107529092456	0.0206859027544218	0.79,0.805	0.194,0.383	0.509
2247	AT1G29357		chr1	-	10273930	10275219	10273930	10275147	10275293	10275765	2247	152,208	85,114	96,98	138,166	171	99	0.000118780582492	0.0206859027544218	0.509,0.514	0.287,0.255	0.241
2264	AT2G32700		chr2	+	13870116	13870261	13870122	13870261	13869710	13869938	2264	225,369	241,324	132,130	318,347	105	99	6.28286555483e-05	0.0157953628960928	0.468,0.518	0.281,0.261	0.222
2308	AT2G36360		chr2	-	15246646	15246762	15246646	15246743	15246849	15246886	2308	1,0	4,6	2,7	1,1	118	99	2.40510215366e-06	0.0018334895418068	0.173,0.0	0.627,0.855	-0.654
2412	AT2G47640		chr2	+	19537859	19537937	19537862	19537937	19537504	19537529	2412	142,163	266,410	287,359	228,337	102	99	0.000123292657855	0.0206859027544218	0.341,0.278	0.55,0.508	-0.22
ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
62	AT5G46740		chr5	-	18967802	18967923	18967822	18967923	18967606	18967717	62	24,26	0,3	10,9	13,9	119	99	1.40504624535e-06	6.248552885570417e-05	1.0,0.878	0.39,0.454	0.517
64	AT5G44750		chr5	+	18056513	18056585	18056513	18056573	18056667	18056754	64	17,47	16,22	7,15	28,41	111	99	0.000893852629268	0.0190807741261075	0.487,0.656	0.182,0.246	0.358
89	AT5G27630		chr5	+	9779718	9779862	9779718	9779844	9780007	9780154	89	8,0	7,8	1,3	1,0	117	99	0.00146469225174	0.0293121536879467	0.492,0.0	0.458,1.0	-0.483
90	AT5G27630		chr5	+	9779718	9779904	9779718	9779844	9780007	9780154	90	26,5	7,8	39,19	1,0	159	99	0.000333028425166	0.0080784622528903	0.698,0.28	0.96,1.0	-0.491
140	AT5G11630		chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	140	75,132	24,32	45,68	78,99	164	99	1.00515595847e-10	9.46620405594394e-09	0.654,0.713	0.258,0.293	0.408
155	AT5G37690		chr5	-	14975877	14976229	14975901	14976229	14975446	14975574	155	120,240	46,97	34,68	40,88	123	99	0.000107300263032	0.0029618572605902	0.677,0.666	0.406,0.383	0.277
188	AT4G39390		chr4	+	18315544	18315860	18315544	18315838	18316262	18316422	188	74,105	51,27	145,133	2,8	121	99	7.4624815989e-05	0.0021722605526979	0.543,0.761	0.983,0.932	-0.305
195	AT4G38380		chr4	-	17974504	17974799	17974518	17974799	17974276	17974419	195	15,23	34,38	13,30	8,1	113	99	0.000874149357138	0.0189123394699721	0.279,0.347	0.587,0.963	-0.462
214	AT5G37850		chr5	+	15065299	15065512	15065299	15065479	15065604	15065701	214	219,345	296,459	126,128	552,729	132	99	2.16050203283e-08	1.5038972845916654e-06	0.357,0.361	0.146,0.116	0.228
240	AT4G32330		chr4	+	15608904	15609117	15608904	15609106	15609789	15610001	240	10,24	203,301	72,77	205,235	110	99	0.000494759905289	0.0116486854171718	0.042,0.067	0.24,0.228	-0.179
349	AT4G09980		chr4	-	6249104	6249224	6249115	6249224	6248510	6248662	349	14,6	122,115	63,39	77,65	110	99	5.15140008428e-09	4.123695767466141e-07	0.094,0.045	0.424,0.351	-0.318
392	AT4G40050		chr4	-	18561988	18562084	18561992	18562084	18561698	18561884	392	117,163	136,228	202,208	33,48	103	99	0.0	0.0	0.453,0.407	0.855,0.806	-0.401
396	AT3G63480		chr3	-	23442677	23442771	23442689	23442771	23442559	23442601	396	0,2	1,11	10,21	14,9	111	99	0.00266957422041	0.0499387429812727	0.0,0.14	0.389,0.675	-0.462
397	AT3G63460		chr3	-	23434943	23434986	23434949	23434986	23434703	23434825	397	323,430	56,51	235,223	356,265	105	99	0.0	0.0	0.845,0.888	0.384,0.442	0.454
398	AT3G63340		chr3	-	23392347	23392402	23392378	23392402	23392165	23392246	398	169,249	6,16	56,60	36,38	130	99	6.959988141380001e-13	7.428627342899586e-11	0.955,0.922	0.542,0.546	0.394
438	AT3G54500		chr3	-	20178157	20178491	20178160	20178491	20177934	20178064	438	177,319	91,170	581,777	872,1074	102	99	3.35406376628e-06	0.0001451312456706	0.654,0.646	0.393,0.413	0.247
496	AT4G24230		chr4	-	12567237	12567362	12567250	12567362	12566943	12567132	496	95,185	139,238	63,90	210,347	112	99	0.00166223437393	0.0326211492781581	0.377,0.407	0.21,0.187	0.194
