groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Col_0	fio1	log2fold_fio1_Col_0	abs_logFC	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.Cai_Col.0_1.bam	countData.Cai_Col.0_2.bam	countData.Cai_Col.0_3.bam	countData.Cai_fio1_1.bam	countData.Cai_fio1_2.bam	countData.Cai_fio1_3.bam	transcripts
AT1G78960	E006	78.0645807783544	0.00514630387794503	157.643100485779	3.70361394313619E-36	9.32157128999506E-33	0.0186489333277677	14.1359422255963	19.1474332769469	19.1474332769469	1	29696708	29696925	218	+	0	0	0	179	154	174	"c(""AT1G78960.3"", ""AT1G78960.2"", ""AT1G78960.1"", ""AT1G78960.4"")"
AT4G34840+AT4G34850	E020	55.9044635354489	0.00922442833623	271.063639616173	6.65419145386201E-61	4.86484768529255E-57	0.0273487686495173	16.7564403999178	18.5395581936574	18.5395581936574	4	16609293	16609720	428	+	0	0	0	130	146	92	"c(""AT4G34850.1"", ""AT4G34850.2"")"
AT1G78960	E005	22.9892926054862	0.0253003473440257	41.1788931115315	1.38914541964265E-10	5.5396232799412E-08	0.0186486772646788	7.6866014359266	17.3787891259434	17.3787891259434	1	29696514	29696707	194	+	0	0	0	50	38	60	"c(""AT1G78960.2"", ""AT1G78960.4"")"
AT1G78960	E003	22.382192135231	0.0107985987909442	47.1653316850903	6.52443007277067E-12	3.08347287346958E-09	0.018648495882303	7.62343217493529	17.3549326384286	17.3549326384286	1	29696470	29696502	33	+	0	0	0	53	55	39	"c(""AT1G78960.3"", ""AT1G78960.2"", ""AT1G78960.1"", ""AT1G78960.4"")"
AT5G26730	E003	105.268005760462	0.00470844757910967	245.742161775207	2.20149731659581E-55	1.2518366037665E-51	0.0544476916422525	19.89757438837	17.0573236032039	17.0573236032039	5	9301490	9302158	669	+	0	0	0	260	238	192	AT5G26730.1
AT2G09545+AT2G44798	E026	1.84483091191746	0.0928278165666532	14.7971817533748	0.000119714276382968	0.0110058280557348	0.0104340106419158	3.41739065286652	16.7118110601266	16.7118110601266	2	18469583	18470769	1187	-	0	0	0	4	4	4	AT2G44798.10
AT5G43660	E004	2.81832322711166	0.0648375567070143	24.2365416052759	8.52003490464839E-07	0.000162494529057226	4.21591823475012	0.0150051855841582	-16.2698473514911	16.2698473514911	5	17536085	17536301	217	-	4	6	6	0	0	0	"c(""AT5G43660.3"", ""AT5G43660.5"", ""AT5G43660.2"", ""AT5G43660.4"")"
AT4G34840+AT4G34850	E021	10.4019062189429	0.089910235111346	36.4458964202061	1.56963244085294E-09	5.27858272749132E-07	0.0273486309085911	7.27720765611846	16.1156069784794	16.1156069784794	4	16609721	16609829	109	+	0	0	0	16	39	14	AT4G34850.1
AT4G31230	E011	2.09670282318347	0.12229424122136	14.5775525132925	0.000134507333758785	0.0120227729664931	0.0166443081864713	3.97041381566913	15.79744267576	15.79744267576	4	15175902	15176235	334	-	0	0	0	8	4	2	"c(""AT4G31230.2"", ""AT4G31230.1"")"
AT1G78960	E004	7.52336381228979	0.0237941728635626	15.4564164558199	8.44298157168157E-05	0.00841721403052124	0.0186483045222303	4.41164079512635	15.7737471415016	15.7737471415016	1	29696503	29696513	11	+	0	0	0	14	19	16	"c(""AT1G78960.2"", ""AT1G78960.3"", ""AT1G78960.4"")"
