ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT5G52070"	NA	chr5	+	21162074	21162208	21163726	21163968	21161222	21161353	21164079	21164196
1	"AT5G52070"	NA	chr5	+	21162095	21162208	21163726	21163968	21161131	21161353	21164079	21164196
3	"AT5G40210"	NA	chr5	-	16074470	16074663	16075445	16075559	16074202	16074364	16075749	16075815
5	"AT5G36180"	NA	chr5	+	14239654	14239731	14239820	14239943	14239403	14239580	14240035	14240138
6	"AT5G21930"	NA	chr5	+	7246262	7246368	7246569	7246636	7245976	7246086	7247050	7247130
7	"AT5G17020"	NA	chr5	+	5597308	5597353	5597493	5597601	5597152	5597215	5597734	5597833
8	"AT5G14710"	NA	chr5	+	4746725	4746773	4746862	4746909	4746263	4746524	4747247	4747314
10	"AT5G10278"	NA	chr5	+	3227508	3227619	3228763	3228867	3226320	3226525	3229579	3229669
11	"AT5G06690"	NA	chr5	-	2060871	2060889	2060980	2061047	2060442	2060749	2061135	2061210
12	"AT4G32470"	NA	chr4	-	15670019	15670020	15670070	15670118	15669218	15669709	15670732	15670890
13	"AT4G30690"	NA	chr4	+	14961508	14961558	14961672	14961706	14961360	14961413	14961810	14961883
14	"AT4G29940"	NA	chr4	-	14648754	14648835	14648992	14649073	14648138	14648600	14649234	14649315
15	"AT4G29940"	NA	chr4	-	14648992	14649073	14649234	14649315	14648754	14648835	14649467	14649548
16	"AT4G24100"	NA	chr4	+	12518255	12518294	12518375	12518432	12518092	12518184	12518509	12518617
17	"AT4G23660"	NA	chr4	-	12330119	12330255	12330916	12331378	12329530	12329652	12331637	12331679
18	"AT4G17040"	NA	chr4	-	9586928	9587042	9587373	9587451	9586702	9586811	9587618	9587745
19	"AT4G16765"	NA	chr4	-	9431001	9431123	9431428	9431480	9430743	9430844	9431557	9431638
20	"AT4G10030"	NA	chr4	-	6271156	6271222	6271406	6271508	6270915	6271028	6271584	6271637
21	"AT4G02760"	NA	chr4	-	1226580	1226691	1226885	1226987	1226311	1226412	1227080	1227256
22	"AT3G61420"	NA	chr3	-	22727470	22727539	22727736	22727784	22726707	22727300	22727916	22727994
23	"AT3G60910"	NA	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708
24	"AT5G10290"	NA	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161
27	"AT5G35180"	NA	chr5	+	13425138	13425192	13425403	13425469	13424965	13425040	13425637	13425696
28	"AT1G35320"	NA	chr1	-	12959476	12959768	12960464	12960589	12958840	12959379	12960680	12960799
29	"AT3G23255"	NA	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570
30	"AT2G04900"	NA	chr2	+	1722669	1722740	1722824	1722905	1722480	1722590	1722989	1723033
31	"AT2G04900"	NA	chr2	+	1722824	1722905	1722989	1723033	1722669	1722740	1723506	1723976
32	"AT1G62305"	NA	chr1	-	23028385	23028457	23028541	23028642	23028186	23028265	23028726	23028843
33	"AT1G60640"	NA	chr1	-	22338173	22338233	22338466	22338526	22337700	22337766	22338617	22338683
35	"AT1G58602"	NA	chr1	+	21753883	21754088	21758508	21758658	21746353	21746499	21760158	21761055
37	"AT1G07780"	NA	chr1	-	2411823	2411929	2412193	2412219	2411478	2411541	2412609	2412773
38	"AT4G08690"	NA	chr4	-	5552404	5552581	5552647	5552727	5552231	5552330	5553039	5553216
39	"AT4G10890"	NA	chr4	+	6691527	6691587	6692078	6692147	6691335	6691407	6692340	6692418
40	"AT3G12520"	NA	chr3	-	3969770	3969831	3969970	3970036	3969502	3969630	3970241	3970349
41	"AT1G55690"	NA	chr1	-	20811824	20811922	20812172	20812296	20811439	20811743	20812616	20813061
42	"AT1G53390"	NA	chr1	+	19918746	19918998	19919321	19919398	19917993	19918225	19919636	19919909
43	"AT5G48335"	NA	chr5	+	19588227	19588259	19588608	19588740	19587871	19588159	19589126	19589177
44	"AT3G01150"	NA	chr3	+	52644	52746	52888	52951	52154	52364	53042	53212
46	"AT1G10570"	NA	chr1	+	3489673	3489776	3490054	3490152	3489484	3489589	3490367	3490490
47	"AT1G66880"	NA	chr1	+	24950291	24950846	24952951	24953677	24948885	24949495	24953891	24953921
48	"AT1G31910"	NA	chr1	+	11458683	11458786	11459002	11459057	11456801	11457626	11459159	11459310
49	"AT4G08470"	NA	chr4	-	5385599	5385845	5386208	5386463	5385416	5385501	5386571	5387058
50	"AT1G54730"	NA	chr1	+	20427125	20427210	20427299	20427343	20426964	20427045	20428048	20428111
51	"AT1G54730"	NA	chr1	+	20427299	20427343	20428048	20428111	20427125	20427210	20428387	20428447
52	"AT1G54730"	NA	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842
53	"AT3G28100"	NA	chr3	+	10458769	10459016	10460213	10460375	10456624	10456738	10460453	10460602
54	"AT5G37478"	NA	chr5	+	14881818	14881878	14882363	14882423	14881415	14881601	14882825	14882924
55	"AT4G06676"	NA	chr4	+	3899167	3899233	3899704	3899846	3898810	3899089	3899967	3900020
56	"AT1G03090"	NA	chr1	+	741147	741207	741508	741601	740969	741065	741683	741795
57	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732602	2729851	2730027	2732740	2732887
58	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732605	2729851	2730027	2732740	2732925
59	"AT5G08450"	NA	chr5	-	2730453	2730461	2730905	2732642	2729851	2730027	2732740	2732925
60	"AT1G32400"	NA	chr1	-	11689948	11690053	11690634	11691147	11689584	11689794	11691365	11691465
61	"AT1G32400"	NA	chr1	-	11689948	11690053	11690634	11690956	11689584	11689794	11691365	11691588
62	"AT1G05520"	NA	chr1	-	1632343	1632421	1632971	1633053	1631915	1632077	1633131	1633304
63	"AT2G17320"	NA	chr2	-	7534005	7534083	7534158	7534233	7533836	7533914	7534331	7534418
64	"AT1G02100"	NA	chr1	+	392020	392072	392261	392300	391651	391716	392373	392495
66	"AT1G02610"	NA	chr1	-	554471	554613	554795	554863	553599	553677	555571	555643
67	"AT1G58180"	NA	chr1	-	21539004	21539053	21539168	21539300	21538790	21538904	21539393	21539458
68	"AT3G55080"	NA	chr3	-	20412581	20412665	20412826	20412862	20412265	20412399	20413137	20413218
