ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67430"	NA	chr5	+	26910204	26910830	26910204	26910593	26910669	26910830	0	4,5	6,14	0,0	5,5	175	99	0.298098374171	1.0	0.274,0.168	0.0,0.0	0.221
1	"AT5G67385"	NA	chr5	+	26884202	26884982	26884202	26884809	26884912	26884982	1	136,103	267,242	58,102	219,290	202	99	1	1.0	0.2,0.173	0.115,0.147	0.055
2	"AT5G67385"	NA	chr5	+	26884912	26885699	26884912	26884982	26885084	26885699	2	46,56	288,311	32,71	196,298	201	99	1	1.0	0.073,0.081	0.074,0.105	-0.012
3	"AT5G67110"	NA	chr5	-	26785617	26785827	26785617	26785683	26785761	26785827	3	8,5	34,22	10,5	8,22	177	99	1	1.0	0.116,0.113	0.411,0.113	-0.148
4	"AT5G66810"	NA	chr5	+	26674949	26675816	26674949	26675494	26675618	26675816	4	47,53	144,133	25,25	88,154	223	99	1	1.0	0.127,0.15	0.112,0.067	0.049
5	"AT5G66810"	NA	chr5	+	26675618	26676255	26675618	26675816	26675913	26676255	5	18,11	161,125	7,19	73,106	196	99	1	1.0	0.053,0.043	0.046,0.083	-0.017
6	"AT5G66558"	NA	chr5	-	26563997	26566847	26563997	26564383	26564530	26566847	6	16,20	6,9	18,17	7,12	246	99	1	1.0	0.518,0.472	0.509,0.363	0.059
7	"AT5G66450"	NA	chr5	+	26534615	26535133	26534615	26534688	26534780	26535133	7	28,28	2,9	20,36	1,3	191	99	0.673796926732	1.0	0.879,0.617	0.912,0.861	-0.139
8	"AT5G66240"	NA	chr5	+	26466173	26466443	26466173	26466274	26466363	26466443	8	655,622	122,126	294,438	83,128	188	99	1	1.0	0.739,0.722	0.651,0.643	0.083
10	"AT5G66055"	NA	chr5	-	26417635	26417912	26417635	26417734	26417813	26417912	10	174,209	483,554	82,129	350,564	178	99	1	1.0	0.167,0.173	0.115,0.113	0.056
11	"AT5G66040"	NA	chr5	+	26410731	26410993	26410731	26410805	26410868	26410993	11	217,238	3586,3997	186,290	2652,4418	162	99	1	1.0	0.036,0.035	0.041,0.039	-0.004
12	"AT5G65970"	NA	chr5	-	26388353	26388669	26388353	26388389	26388495	26388669	12	51,46	58,78	27,38	46,64	205	99	1	1.0	0.298,0.222	0.221,0.223	0.038
13	"AT5G65940"	NA	chr5	-	26377037	26377257	26377037	26377079	26377155	26377257	13	122,90	472,411	66,104	275,509	175	99	1	1.0	0.128,0.11	0.12,0.104	0.007
