3	6747370	6748109	AT3G19460	+	0.021978022	-0.6508834412	0.6508834412
4	17974277	17974799	AT4G38380	-	0.013986014	-0.6357990934	0.6357990934
1	28107927	28108395	AT1G74810	+	0.0384615385	0.6337098023	0.6337098023
1	29792210	29792309	AT1G79190	+	0	-0.6309078514	0.6309078514
5	6196207	6196336	AT5G18620	-	0	-0.6212469963	0.6212469963
2	18303985	18304130	AT2G44280	-	0.0307192807	0.5734094382	0.5734094382
3	8420278	8420595	AT3G23470_and_AT3G23480	+	0.047952048	-0.5730254929	0.5730254929
2	18303752	18304627	AT2G44280	-	0.0307192807	0.5513434657	0.5513434657
1	6550669	6550763	AT1G18950	+	0.000999001	-0.5461762214	0.5461762214
1	23421305	23421457	AT1G63150	+	0.007992008	0.5343228345	0.5343228345
2	18865923	18867160	AT2G45830	+	0.0034965035	-0.5275709588	0.5275709588
3	23442601	23442690	AT3G63480	-	0.0164835165	-0.5217846077	0.5217846077
2	520660	520981	AT2G02080	-	0	-0.5127818722	0.5127818722
4	9785903	9785996	AT4G17570	-	0.0014985015	-0.5120605804	0.5120605804
1	29293272	29293401	AT1G77890_and_AT1G77910	+	0.0014985015	0.5090583448	0.5090583448
2	18866228	18866607	AT2G45830	+	0.0174825175	0.5059172973	0.5059172973
2	9149797	9150092	AT2G21385_and_AT2G21390	+	0.0464535465	-0.5034710435	0.5034710435
2	10980122	10980688	AT2G25740	+	0	-0.5018931378	0.5018931378
3	9910792	9911368	AT3G26890_and_AT3G26900	-	0.031968032	-0.4979887654	0.4979887654
3	6748759	6749322	AT3G19460	+	0.015984016	-0.493225665	0.493225665
1	18511849	18512512	AT1G49980	+	0.0134865135	-0.4857038651	0.4857038651
4	13539828	13540218	AT4G26965	+	0.000999001	-0.4855635692	0.4855635692
2	18866228	18866607	AT2G45830	+	0.0174825175	0.4843107257	0.4843107257
4	17974419	17974519	AT4G38380	-	0.013986014	-0.4773913459	0.4773913459
1	5322653	5323895	AT1G15490	-	0.02997003	-0.4712928247	0.4712928247
1	5743829	5744139	AT1G16780_and_AT1G16800	-	0.005994006	0.4616165065	0.4616165065
1	8182128	8182218	AT1G23080	-	0	-0.4583543155	0.4583543155
2	2350017	2350539	AT2G06025	+	0.006993007	0.4562005205	0.4562005205
1	29815873	29816607	AT1G79270	+	0.030969031	0.447122188	0.447122188
5	3740877	3741504	AT5G11630_and_AT5G11640	+	0.002997003	0.4456841101	0.4456841101
4	13346067	13346405	AT4G26400	-	0	-0.4412861039	0.4412861039
1	813581	813929	AT1G03310	+	0.000999001	-0.4403807361	0.4403807361
3	7006635	7006734	AT3G20070	-	0.031968032	0.4398710964	0.4398710964
3	23434825	23434950	AT3G63460	-	0	0.4354928643	0.4354928643
5	4566593	4566988	AT5G14150	-	0.0204795205	0.433005381	0.433005381
1	6068902	6069257	AT1G17640	-	0.02997003	0.4320912638	0.4320912638
5	21882329	21882907	AT5G53900	-	0.007992008	-0.4319658203	0.4319658203
4	12426711	12427055	AT4G23910	+	0	0.4258827612	0.4258827612
1	5322960	5323158	AT1G15490	-	0.011988012	-0.4228459379	0.4228459379
1	9716179	9716607	AT1G27900	-	0.032967033	-0.4187885076	0.4187885076
4	6248662	6249116	AT4G09980	-	0.000999001	-0.4144532977	0.4144532977
1	5164347	5164537	AT1G14970	-	0.037962038	-0.4110862053	0.4110862053
1	29597190	29597316	AT1G78690	+	0.034965035	-0.409231419	0.409231419
1	29816510	29816607	AT1G79270	+	0.030969031	-0.4057881885	0.4057881885
4	18561884	18561993	AT4G40050	-	0	-0.4056264065	0.4056264065
