1	416435	416743	AT1G02190	+	0	-1	1
1	2745702	2746404	AT1G08630	-	0	-1	1
1	18446199	18446390	AT1G49830	-	0	-1	1
2	8352237	8352381	AT2G19240	-	0	-1	1
2	10771052	10771122	AT2G25297	-	0	1	1
3	6374713	6374793	AT3G18530_and_AT3G18535	-	0	1	1
3	7575085	7575160	AT3G21500	-	0	-1	1
3	9957559	9957644	AT3G27010	-	0	1	1
3	20018980	20019076	AT3G54060	-	0	-1	1
4	6712969	6713146	AT4G10950	-	0	-1	1
4	14387970	14388064	AT4G29180	+	0	-1	1
5	2332936	2333020	AT5G07380	+	0	1	1
5	8228974	8229171	AT5G24230	+	0	1	1
5	18434855	18434895	AT5G45500	-	0	1	1
5	21237274	21237359	AT5G52300	+	0	1	1
1	687009	687115	AT1G02990	-	0	1	1
1	1584588	1584681	AT1G05400	+	0	-1	1
3	4735427	4735515	AT3G14225	-	0	1	1
5	17698094	17698444	AT5G43990	+	0	1	1
1	8631206	8631726	AT1G24330	+	0	1	1
5	21249773	21250321	AT5G52330	-	0	-1	1
1	2435858	2436595	AT1G07880_and_AT1G07885	-	0	-1	1
5	121483	121817	AT5G01300	-	0	1	1
1	5712022	5712445	AT1G16700_and_AT1G16705	+	0	-1	1
1	5956497	5956893	AT1G17380	-	0	-1	1
1	12977710	12978080	AT1G35340	+	0	1	1
2	8865658	8866574	AT2G20585	+	0	1	1
2	8866093	8866574	AT2G20585	+	0	1	1
2	11236651	11236819	AT2G26410	-	0	-1	1
2	16960964	16961683	AT2G40640	-	0	1	1
4	167945	168245	AT4G00380	+	0	-1	1
4	7637037	7637897	AT4G13100	-	0	-1	1
5	3283853	3284666	AT5G10450	-	0	-1	1
1	8379987	8380411	AT1G23700	-	0	1	1
3	6406637	6407065	AT3G18610	-	0	-1	1
4	13667565	13667895	AT4G27290	+	0	-1	1
4	17084527	17084777	AT4G36105	+	0	1	1
5	15760714	15761367	AT5G39380	-	0	-1	1
1	30017372	30017713	AT1G79790_locus2	-	0.007992008	-0.9286491254	0.9286491254
5	20580565	20580856	AT5G50565	+	0.01998002	-0.9121826304	0.9121826304
2	7606870	7606944	AT2G17500	+	0.008991009	0.9111104701	0.9111104701
1	17934188	17934328	AT1G48500	+	0.0294705295	0.8845167424	0.8845167424
2	864087	864248	AT2G02960	-	0.044955045	-0.869644878	0.869644878
3	19863958	19864363	AT3G53560_and_AT3G53570	-	0.037962038	0.8404942417	0.8404942417
1	2514150	2516395	AT1G08070	-	0.0424575425	-0.8336106567	0.8336106567
1	20112701	20113065	AT1G53870	+	0.027972028	0.8058925306	0.8058925306
5	2599254	2599428	AT5G08110	-	0.038961039	0.7915082896	0.7915082896
1	3567965	3568324	AT1G10740	-	0.0034965035	0.7598260836	0.7598260836
1	30134017	30134130	AT1G80100	+	0.048951049	0.7561995038	0.7561995038
1	17928054	17928719	AT1G48490	-	0.002997003	-0.7506158848	0.7506158848
1	11677925	11678058	AT1G32370	+	0.032967033	0.7497688679	0.7497688679
3	948795	948879	AT3G03770	-	0.030969031	0.743824598	0.743824598
1	2507818	2508109	AT1G08060	-	0.010989011	-0.7335516595	0.7335516595
3	8964555	8964636	AT3G24560	+	0.0274725275	0.7198907588	0.7198907588
1	19506356	19507018	AT1G52370	+	0.0312187812	-0.7183079128	0.7183079128
3	21230362	21230454	AT3G57380	+	0.0454545455	-0.7125814085	0.7125814085
5	5757464	5757542	AT5G17460	-	0.006993007	0.708384951	0.708384951
1	17960664	17960798	AT1G48580	-	0.043956044	0.7066603261	0.7066603261
5	20881393	20881525	AT5G51410	-	0.001998002	-0.7046137381	0.7046137381
3	23225526	23226090	AT3G62800	-	0.014985015	-0.700030791	0.700030791
1	1761084	1761301	AT1G05830	+	0.048951049	-0.6903474035	0.6903474035
1	24205571	24205694	AT1G65150	-	0.0084915085	0.6764915441	0.6764915441
5	21882329	21882857	AT5G53900	-	0.034965035	-0.675858644	0.675858644
1	20112701	20113334	AT1G53870	+	0.0354645355	-0.6535271152	0.6535271152
2	13653427	13653747	AT2G32120	-	0.0244755245	0.652540172	0.652540172
4	9560115	9561097	AT4G16990	+	0.014985015	-0.6473338768	0.6473338768
1	4845150	4845226	AT1G14170	-	0.0134865135	-0.6432900108	0.6432900108
2	9832032	9832306	AT2G23093	+	0.021978022	0.640644855	0.640644855
4	7607424	7607506	AT4G13030	+	0.020979021	-0.6253989181	0.6253989181
4	7607557	7607661	AT4G13030	+	0.020979021	0.6253989181	0.6253989181
1	2723957	2724075	AT1G08600	+	0.003996004	0.6211023366	0.6211023366
1	19250358	19250605	AT1G51840	-	0.0277222777	-0.6201614551	0.6201614551
1	25079464	25079553	AT1G67120	-	0.0344655345	-0.6170267232	0.6170267232
4	10640309	10640613	AT4G19520	-	0.045954046	-0.6150017091	0.6150017091
4	11997909	11998116	AT4G22860	+	0.023976024	0.6110714814	0.6110714814
1	19250211	19250605	AT1G51840	-	0.017982018	-0.57633882	0.57633882
5	3854388	3855058	AT5G11950	+	0.000999001	-0.5757466852	0.5757466852
4	9728432	9728528	AT4G17440	+	0.0194805195	-0.5722994533	0.5722994533
4	13890472	13890819	AT4G27900	+	0.0004995005	-0.5593840086	0.5593840086
1	2333281	2333505	AT1G07570	-	0.0284715285	0.5552438806	0.5552438806
5	25736890	25737204	AT5G64360	-	0.008991009	0.5482557609	0.5482557609
2	864087	864248	AT2G02960	-	0.0464535465	-0.5447134352	0.5447134352
1	11193838	11194238	AT1G31300	+	0.015984016	0.5288808071	0.5288808071
1	26855998	26856090	AT1G71240	+	0.0184815185	0.5273849587	0.5273849587
3	9224137	9224264	AT3G25440	+	0.035964036	0.5238082523	0.5238082523
3	8115279	8115635	AT3G22900	+	0.031968032	-0.5202757251	0.5202757251
3	23378258	23378566	AT3G63280	+	0.045954046	0.5145361326	0.5145361326
