1	12923488	12923746	AT1G06833	-
4	1377407	1377410	AT4G03110	-
5	5326521	5326524	AT5G16280	-
1	4749834	4749837	AT1G13880	+
1	5253545	5253548	AT1G15280	+
3	8964625	8964635	AT3G24560	+
5	20451631	20451640	AT5G50240	+
1	8570	8593	AT1G01020	-
1	1513824	1513830	AT1G05230	-
1	5323152	5323157	AT1G15490	-
1	5744111	5744138	AT1G16780	-
1	6952652	6952655	AT1G20060	-
1	8182205	8182217	AT1G23080	-
1	16115904	16115986	AT1G09475	-
1	26565301	26565317	AT1G70490	-
1	27381146	27381164	AT1G72740	-
2	182004	182016	AT2G01420	-
2	520976	520980	AT2G02080	-
2	9848939	9849103	AT2G23140	-
2	16033726	16033741	AT2G38280	-
2	16571179	16571190	AT2G39730	-
3	2326718	2326724	AT3G07300	-
3	3611723	3611728	AT3G11470	-
3	4427849	4427864	AT3G13560	-
3	20178157	20178160	AT3G54500	-
3	21114161	21114206	AT3G57050	-
3	23392347	23392378	AT3G63340	-
3	23434943	23434949	AT3G63460	-
4	6249104	6249115	AT4G09980	-
4	9785983	9785995	AT4G17570	-
4	12567237	12567250	AT4G24230	-
4	16781473	16781811	AT4G35270	-
4	17974504	17974518	AT4G38380	-
4	18561988	18561992	AT4G40050	-
5	24167445	24168033	AT5G60022	-
1	813581	813604	AT1G03310	+
1	6550669	6550681	AT1G18950	+
1	8246298	8246303	AT1G23230	+
1	10029267	10029435	AT1G28520	+
1	20274535	20274561	AT1G54310	+
1	25375712	25375726	AT1G67700	+
1	29293272	29293278	AT1G77890	+
1	29665589	29665602	AT1G78910	+
1	29792210	29792228	AT1G79190	+
1	29815873	29816515	AT1G79270	+
1	29816510	29816515	AT1G79270	+
2	950208	950231	AT2G03140	+
2	1679886	1679909	AT2G04790	+
2	7341210	7341247	AT2G16930	+
2	9158588	9158633	AT2G21400	+
2	14929401	14929477	AT2G35550	+
2	18062595	18062599	AT2G43500	+
3	1539728	1539763	AT3G05380	+
3	4638932	4638938	AT3G14010	+
3	6748904	6748909	AT3G19460	+
3	7423328	7423334	AT3G21175	+
3	10451665	10451763	AT3G28080	+
3	20741681	20741713	AT3G55890	+
4	15006702	15006964	AT4G30820	+
4	15609106	15609117	AT4G32330	+
4	17939168	17939176	AT4G38270	+
5	3740877	3740942	AT5G11630	+
5	15065479	15065512	AT5G37850	+
5	17677872	17677876	AT5G43930	+
5	25494407	25494577	AT5G63700	-
5	20710590	20710724	AT5G50915	-
5	20231811	20231877	AT5G49780	+
5	6921983	6922167	AT5G20480	+
5	4378725	4379055	AT5G13590	-
5	15065479	15065604	AT5G37850	+
4	12755048	12755141	AT4G24740	-
4	11478539	11478617	AT4G21585	+
4	5758484	5758981	AT4G08980	+
3	20178804	20178940	AT3G54500	-
2	11697163	11697448	AT2G27340	+
1	30159332	30159439	AT1G80190	+
3	16867693	16867778	AT3G45870	+
5	4476720	4476997	AT5G13870	-
2	9589982	9590080	AT2G22570	-
3	16469574	16469859	AT3G45020	-
1	21214789	21215106	AT1G56612	-
2	1646031	1646154	AT2G04690	+
4	9686024	9686443	AT4G17310	-
1	29958745	29958841	AT1G79620	-
1	29959839	29959917	AT1G79620	-
1	18511962	18512089	AT1G49980	+
1	20631119	20631884	AT1G55310	+
4	18158536	18158736	AT4G38950	-
1	30358295	30358378	AT1G80780	+
2	14208049	14208174	AT2G33540	-
1	15973353	15973486	AT1G42540	+
3	101356	101531	AT3G01310	-
1	9716339	9716537	AT1G27900	-
5	365507	365584	AT5G01950	-
5	369786	369894	AT5G01950	-
4	827717	827800	AT4G01915	+
1	3223831	3224378	AT1G09910	-
2	1687616	1687721	AT2G04800	-
4	15144317	15144492	AT4G31150	-
1	6421303	6421397	AT1G18660	+
1	11236318	11236644	AT1G31360	+
2	7726960	7727324	AT2G17780	-
1	5668739	5668918	AT1G16560	+
5	26034701	26034781	AT5G65165	-
1	24902358	24902436	AT1G66760	+
1	29332621	29332733	AT1G78000	+
2	950208	950308	AT2G03140	+
2	18866503	18866606	AT2G45830	+
5	3382197	3382326	AT5G10710	+
4	15721807	15722015	AT4G32590	+
1	23154534	23154663	AT1G62540	+
2	10980344	10980620	AT2G25740	+
2	11435874	11435986	AT2G26810	-
1	19250211	19250604	AT1G51840	-
1	3636514	3637022	AT1G10900	-
2	15369366	15369448	AT2G36680	-
1	23042269	23042357	AT1G62320	-
3	590808	591040	AT3G02740	+
4	16153345	16153715	AT4G33625	-
3	2682193	2682386	AT3G08840	-
3	2929466	2929572	AT3G09540	-
2	7819425	7819511	AT2G17970	-
3	7833556	7833784	AT3G22190	-
