ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968	0	21,14	22,2	10,14	7,0	262	219	0.599049975568	1.0	0.444,0.854	0.544,1.0	-0.123
1	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	1	38,33	141,113	20,28	112,140	230	230	1	1.0	0.212,0.226	0.152,0.167	0.059
4	"AT5G13030"	NA	chr5	+	4133878	4133988	4134287	4134344	4133133	4133566	4134433	4134733	4	177,108	96,164	154,180	138,145	259	206	1	1.0	0.595,0.344	0.47,0.497	-0.014
5	"AT3G60910"	NA	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708	5	7,3	50,23	2,14	20,44	169	202	1	1.0	0.143,0.135	0.107,0.276	-0.052
6	"AT5G22620"	NA	chr5	-	7518568	7518634	7518810	7518903	7518372	7518471	7519062	7519181	6	151,104	35,47	118,102	25,31	242	215	1	1.0	0.793,0.663	0.807,0.745	-0.048
7	"AT5G22620"	NA	chr5	-	7518595	7518634	7518810	7518903	7518372	7518471	7519062	7519181	7	151,104	2,2	118,102	3,9	242	188	1	1.0	0.983,0.976	0.968,0.898	0.046
9	"AT3G54750"	NA	chr3	-	20266153	20266275	20266633	20266732	20265838	20265940	20266821	20267036	9	25,30	85,73	62,48	117,84	248	271	0.981374699425	1.0	0.243,0.31	0.367,0.384	-0.099
10	"AT1G33790"	NA	chr1	+	12257974	12258400	12259068	12259494	12256963	12257202	12259579	12260032	10	30,32	39,58	36,49	81,73	575	575	1	1.0	0.435,0.356	0.308,0.402	0.04
11	"AT1G60640"	NA	chr1	-	22338173	22338233	22338466	22338526	22337700	22337766	22338617	22338683	11	32,21	2,0	37,32	1,0	209	209	1	1.0	0.941,1.0	0.974,1.0	-0.017
12	"AT1G60640"	NA	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683	12	32,21	82,57	37,32	69,83	209	209	1	1.0	0.281,0.269	0.349,0.278	-0.038
13	"AT1G58602"	NA	chr1	+	21753883	21754088	21758508	21758658	21746353	21746499	21760158	21761055	13	578,610	36,36	630,601	34,33	354	299	1	1.0	0.931,0.935	0.94,0.939	-0.006
14	"AT1G20060"	NA	chr1	-	6952478	6952571	6952652	6952745	6952308	6952398	6952826	6953012	14	2,0	0,6	8,2	6,8	242	242	0.590162947586	1.0	1.0,0.0	0.571,0.2	0.115
15	"AT1G10670"	NA	chr1	+	3535773	3535885	3536130	3536307	3535287	3535578	3536386	3536548	15	345,357	1174,1092	311,371	1361,1490	261	326	1	1.0	0.268,0.29	0.222,0.237	0.05
16	"AT1G10600"	NA	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643	16	3,2	67,28	14,10	42,79	183	212	0.360807440595	1.0	0.049,0.076	0.279,0.128	-0.141
17	"AT1G03780"	NA	chr1	-	949540	949621	949733	949796	949296	949452	949882	950125	17	57,36	19,8	36,26	24,9	212	230	0.827982702136	1.0	0.765,0.83	0.619,0.758	0.109
