ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
171	"AT5G48640"	NA	chr5	-	19724984	19725493	19724984	19725029	19725386	19725493
297	"AT5G26980"	NA	chr5	-	9488132	9488831	9488132	9488361	9488704	9488831
406	"AT5G16800"	NA	chr5	-	5524272	5525039	5524272	5524701	5524835	5525039
491	"AT5G18245"	NA	chr5	+	6028150	6028582	6028150	6028330	6028516	6028582
528	"AT5G06690"	NA	chr5	-	2060442	2061047	2060442	2060749	2060980	2061047
706	"AT4G32850"	NA	chr4	+	15853669	15854241	15853669	15853753	15854043	15854241
763	"AT4G28680"	NA	chr4	+	14157417	14158001	14157417	14157474	14157877	14158001
925	"AT4G19670"	NA	chr4	-	10700919	10702174	10700919	10701365	10701503	10702174
1015	"AT4G14385"	NA	chr4	-	8287347	8288148	8287347	8287430	8288078	8288148
1284	"AT3G59470"	NA	chr3	-	21979542	21980839	21979542	21980122	21980527	21980839
1336	"AT3G55850"	NA	chr3	-	20724352	20725024	20724352	20724459	20724922	20725024
2087	"AT3G13970"	NA	chr3	-	4613491	4614124	4613491	4613755	4614055	4614124
2176	"AT2G03480"	NA	chr2	+	1053007	1053574	1053007	1053169	1053270	1053574
2259	"AT1G09195"	NA	chr1	-	2967939	2968758	2967939	2968199	2968652	2968758
2275	"AT5G66005"	NA	chr5	-	26398726	26399001	26398726	26398814	26398909	26399001
2437	"AT1G02960"	NA	chr1	-	667150	667641	667150	667281	667540	667641
2565	"AT4G39270"	NA	chr4	+	18276535	18279898	18276535	18278985	18279162	18279898
2810	"AT1G02840"	NA	chr1	+	628776	629321	628776	628856	628934	629321
2811	"AT1G02840"	NA	chr1	+	628776	629321	628776	628856	629287	629321
3060	"AT3G54620"	NA	chr3	-	20218483	20218789	20218483	20218536	20218713	20218789
3214	"AT3G27610"	NA	chr3	-	10227328	10227808	10227328	10227389	10227723	10227808
3224	"AT1G03470"	NA	chr1	-	867408	867733	867408	867511	867625	867733
3313	"AT3G45750"	NA	chr3	-	16796783	16797236	16796783	16796958	16797150	16797236
3342	"AT2G17780"	NA	chr2	-	7726541	7727503	7726541	7726960	7727324	7727503
3356	"AT1G13650"	NA	chr1	-	4681010	4682382	4681010	4681492	4682065	4682382
3525	"AT1G70620"	NA	chr1	+	26627195	26628053	26627195	26627512	26627841	26628053
3529	"AT1G70620"	NA	chr1	+	26630246	26631104	26630246	26630303	26630700	26631104
3633	"AT1G48175"	NA	chr1	+	17790396	17791303	17790396	17791013	17791236	17791303
3892	"AT5G06265"	NA	chr5	+	1905778	1906766	1905778	1906172	1906563	1906766
3952	"AT1G45191"	NA	chr1	+	17118336	17118551	17118336	17118350	17118491	17118551
4131	"AT2G16940"	NA	chr2	-	7345694	7346177	7345694	7345776	7346107	7346177
4141	"AT3G18850"	NA	chr3	-	6500286	6500978	6500286	6500713	6500932	6500978
4242	"AT2G22260"	NA	chr2	+	9460917	9461386	9460917	9461149	9461312	9461386
4346	"AT1G80260"	NA	chr1	+	30179355	30179988	30179355	30179427	30179856	30179988
4613	"AT2G37160"	NA	chr2	+	15611441	15611720	15611441	15611547	15611632	15611720
4736	"AT4G35300"	NA	chr4	-	16798992	16799635	16798992	16799101	16799455	16799635
4848	"AT5G65740"	NA	chr5	-	26302829	26303514	26302829	26303051	26303332	26303514
4921	"AT4G02120"	NA	chr4	+	943410	943787	943410	943496	943706	943787
4927	"AT2G30480"	NA	chr2	-	12991852	12992281	12991852	12991974	12992224	12992281
5082	"AT1G26440"	NA	chr1	-	9144994	9145696	9144994	9145114	9145412	9145696
5083	"AT1G26440"	NA	chr1	-	9144994	9145696	9144994	9145195	9145412	9145696
5153	"AT1G79790"	NA	chr1	-	30017371	30017764	30017371	30017442	30017712	30017764
5471	"AT2G05440"	NA	chr2	+	1993573	1994166	1993573	1993723	1993846	1994166
5472	"AT2G05440"	NA	chr2	+	1993573	1994166	1993573	1993744	1993846	1994166
5474	"AT2G05440"	NA	chr2	+	1993573	1994166	1993573	1993786	1993846	1994166
5475	"AT2G05440"	NA	chr2	+	1993573	1994166	1993573	1993807	1993846	1994166
5477	"AT2G05440"	NA	chr2	+	1993573	1994166	1993573	1993723	1993885	1994166
5479	"AT2G05440"	NA	chr2	+	1993573	1994166	1993573	1993786	1993885	1994166
5480	"AT2G05440"	NA	chr2	+	1993573	1994166	1993573	1993807	1993885	1994166
5481	"AT2G05440"	NA	chr2	+	1993573	1994166	1993573	1993723	1993909	1994166
5482	"AT2G05440"	NA	chr2	+	1993573	1994166	1993573	1993765	1993909	1994166
5484	"AT2G05440"	NA	chr2	+	1993573	1994166	1993573	1993807	1993909	1994166
