ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
197	AT5G17460		chr5	-	5757072	5757464	5757072	5757450	5757541	5758384	197	36,18	4,4	4,4	13,9	163	149	3.56435283289e-07	8.567432463872087e-05	0.892,0.804	0.22,0.289	0.594
237	AT5G10330		chr5	-	3249624	3249870	3249624	3249837	3249957	3250648	237	19,18	10,16	24,56	0,1	182	149	3.20460036285e-09	1.9039543454905968e-06	0.609,0.479	1.0,0.979	-0.446
264	AT5G43910		chr5	-	17667860	17667968	17667860	17667956	17668073	17668174	264	6,2	0,0	3,0	12,16	161	149	0.0	0.0	1.0,1.0	0.188,0.0	0.906
265	AT5G43910		chr5	-	17667860	17667987	17667860	17667956	17668073	17668174	265	32,6	0,0	17,27	12,16	180	149	2.65825139678e-10	2.41502139397463e-07	1.0,1.0	0.54,0.583	0.439
376	AT4G33650		chr4	+	16164959	16165058	16164962	16165058	16164757	16164871	376	26,23	64,36	5,2	39,66	152	149	0.000373960826047	0.0399698129957293	0.285,0.385	0.112,0.029	0.264
499	AT5G45115		chr5	-	18238010	18238644	18238010	18238613	18238734	18238906	499	0,0	2,2	6,4	4,4	180	149	0.000176348616744	0.0213616957749232	0.0,0.0	0.554,0.453	-0.504
767	AT3G54750		chr3	-	20267575	20267729	20267575	20267726	20267809	20267892	767	0,4	40,21	22,20	26,25	152	149	7.7866422914e-06	0.0015720365603859	0.0,0.157	0.453,0.44	-0.368
1024	AT4G32000		chr4	-	15475757	15475969	15475757	15475966	15476095	15476257	1024	2,5	0,0	2,0	1,10	152	149	0.000193880641618	0.0220175703637441	1.0,1.0	0.662,0.0	0.669
1391	AT2G16990		chr2	+	7385434	7385547	7385515	7385547	7384137	7384249	1391	4,6	0,0	14,6	8,8	230	149	1.82294506601e-07	5.5204853082336165e-05	1.0,1.0	0.531,0.327	0.571
1392	AT1G23935		chr1	+	8466015	8466146	8466018	8466146	8464953	8465895	1392	4,1	0,0	10,4	6,6	152	149	0.000172927177479	0.0213616957749232	1.0,1.0	0.62,0.395	0.492
1565	AT1G11880		chr1	-	4009577	4009670	4009577	4009648	4009798	4009904	1565	2,0	4,6	10,24	0,0	171	149	1.1832959057e-08	4.3000973213138e-06	0.303,0.0	1.0,1.0	-0.849
1598	AT1G13880		chr1	+	4749834	4751212	4749837	4751212	4749591	4749747	1598	2,4	31,46	40,38	69,58	152	149	1.91074875628e-05	0.0031562095365097	0.059,0.079	0.362,0.391	-0.307
1932	AT3G58930		chr3	-	21779048	21780122	21779048	21780014	21780245	21780663	1932	0,4	12,14	12,19	2,6	257	149	3.77212216351e-07	8.567432463872087e-05	0.0,0.142	0.777,0.647	-0.641
2102	AT2G32120		chr2	-	13651441	13653427	13651441	13653414	13653746	13653945	2102	8,12	4,0	0,6	20,14	162	149	1.69007711999e-05	0.0030708701270218	0.648,1.0	0.0,0.283	0.683
2112	AT2G32760		chr2	+	13892577	13892806	13892599	13892806	13891536	13892325	2112	14,16	2,2	14,14	20,14	171	149	0.000149106971802	0.0208405667510949	0.859,0.875	0.379,0.466	0.445
2154	AT2G36360		chr2	-	15246646	15246762	15246646	15246743	15246849	15246886	2154	2,2	0,0	2,0	8,2	168	149	4.19142398567e-09	1.9039543454905968e-06	1.0,1.0	0.181,0.0	0.909
2219	AT3G26670		chr3	-	9800469	9800684	9800469	9800608	9800814	9801209	2219	34,27	0,4	15,22	14,12	225	149	0.000122121714947	0.0184912630048915	1.0,0.817	0.415,0.548	0.427
ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
15	AT5G61960		chr5	-	24883691	24883955	24883907	24883955	24883550	24883573	15	2,2	11,2	1,2	0,0	365	149	8.31557045444e-13	3.412155743138547e-10	0.069,0.29	1.0,1.0	-0.821
36	AT5G55100		chr5	-	22363849	22364235	22364074	22364235	22362891	22363626	36	51,36	2,0	54,38	8,14	374	149	0.00065568067081	0.0252232158052221	0.91,1.0	0.729,0.52	0.331
129	AT5G11630		chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	129	61,105	24,36	53,74	61,143	214	149	6.38064703273e-06	0.0004909110310806	0.639,0.67	0.377,0.265	0.334
167	AT4G40030		chr4	-	18556501	18556904	18556743	18556904	18556345	18556417	167	42,58	19,22	86,67	6,0	391	149	1.81566513602e-06	0.0001719295217262	0.457,0.501	0.845,1.0	-0.444
168	AT4G40030		chr4	-	18556506	18556904	18556743	18556904	18556345	18556417	168	40,60	19,22	85,59	6,0	386	149	3.72856614794e-06	0.0003278474948652	0.448,0.513	0.845,1.0	-0.442
306	AT4G14965		chr4	+	8552722	8552769	8552722	8552747	8552923	8553098	306	130,137	4,8	138,146	58,52	171	149	1.77580364635e-07	1.987285716960773e-05	0.966,0.937	0.675,0.71	0.259
366	AT4G40050		chr4	-	18561988	18562084	18561992	18562084	18561698	18561884	366	50,48	76,57	61,85	20,30	153	149	1.70986711178e-05	0.0011078139024216	0.391,0.451	0.748,0.734	-0.32
371	AT3G63460		chr3	-	23434943	23434986	23434949	23434986	23434703	23434825	371	101,144	4,2	77,91	69,52	155	149	1.11022302463e-15	6.83342271659765e-13	0.96,0.986	0.518,0.627	0.4
433	AT3G49500		chr3	-	18353443	18353673	18353466	18353673	18350490	18353210	433	4,11	8,7	0,0	4,20	172	149	0.000275359077025	0.0112989007939258	0.302,0.577	0.0,0.0	0.44
505	AT1G78690		chr1	+	29596982	29597235	29596982	29597190	29597315	29597446	505	8,2	6,2	8,10	0,1	194	149	0.000285938261368	0.0113545161207744	0.506,0.434	1.0,0.885	-0.473
512	AT1G79270		chr1	+	29815505	29816510	29815505	29815873	29816606	29816677	512	14,4	4,6	16,4	0,0	786	149	1.15518121735e-08	1.7359967373634331e-06	0.399,0.112	1.0,1.0	-0.744
513	AT1G79270		chr1	+	29815505	29816515	29815505	29815873	29816606	29816677	513	12,4	4,6	14,16	0,0	791	149	2.36909725171e-09	4.7404451064632005e-07	0.361,0.112	1.0,1.0	-0.764
543	AT2G15530		chr2	+	6773916	6773983	6773916	6773964	6774083	6775826	543	16,18	1,4	20,23	23,30	168	149	8.66867239703e-05	0.0044463065503099	0.934,0.8	0.435,0.405	0.447
548	AT1G68140		chr1	-	25540793	25541741	25541435	25541741	25538944	25540430	548	27,26	6,8	34,41	0,0	791	149	2.69562272504e-09	4.7404451064632005e-07	0.459,0.38	1.0,1.0	-0.581
