ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference		
61	AT5G53020	NA	chr5	+	21501851	21502416	21501854	21502416	21500916	21501767	61	3,3,3,0,5,0	12,24,16,25,20,15	12,5,8,12,6,2	12,5,5,12,13,6	152	149	0.000053994228893	0.00995985852964723	0.197,0.109,0.155,0.0,0.197,0.0	0.495,0.495,0.611,0.495,0.311,0.246	-0.333		
77	AT5G50240	NA	chr5	+	20451631	20451902	20451640	20451902	20451227	20451493	77	1,3,4,1,2,4	3,4,5,2,1,2	1,4,1,3,0,2	0,1,1,1,1,0	158	149	0.0000731814540289	0.0116992751174201	0.239,0.414,0.43,0.32,0.654,0.654	1.0,0.79,0.485,0.739,0.0,1.0	-0.217		
348	AT4G37940	NA	chr4	-	17836094	17836161	17836094	17836136	17836251	17836351	348	5,4,5,1,7,5	14,23,20,20,31,34	3,0,0,2,0,0	9,6,7,0,12,6	174	149	0.000183560601291	0.0231672800997799	0.234,0.13,0.176,0.041,0.162,0.112	0.222,0.0,0.0,1.0,0.0,0.0	-0.061		
713	AT3G60040	NA	chr3	-	22177281	22178252	22177281	22178249	22178711	22178787	713	2,3,1,6,5,5	1,1,2,8,4,3	1,0,2,0,1,0	6,1,3,3,11,3	152	149	1.3729461279E-07	0.000153363602107716	0.662,0.746,0.329,0.424,0.551,0.62	0.14,0.0,0.395,0.0,0.082,0.0	0.453		
908	AT4G26140	NA	chr4	-	13244507	13244689	13244507	13244683	13244784	13244946	908	24,27,16,18,25,23	7,13,16,8,14,29	9,6,2,5,7,3	19,10,18,13,15,6	155	149	0.000339207062916	0.036973569857844	0.767,0.666,0.49,0.684,0.632,0.433	0.313,0.366,0.097,0.27,0.31,0.325	0.332		
946	AT1G72640	NA	chr1	-	27347584	27347661	27347584	27347658	27347769	27347856	946	65,66,76,79,93,80	1.38275170163227E+017	64,51,51,72,83,31	4.46384438566601E+017	152	149	0.000145196589812	0.0193434123538431	0.316,0.19,0.305,0.322,0.287,0.283	0.123,0.115,0.102,0.111,0.119,0.131	0.167		
981	AT5G60170	NA	chr5	+	24229699	24229832	24229705	24229832	24229463	24229555	981	39,41,37,45,62,51	23,12,17,13,27,34	24,15,29,43,37,14	20,30,38,45,57,25	155	149	0.000337310666496	0.036973569857844	0.62,0.767,0.677,0.769,0.688,0.59	0.536,0.325,0.423,0.479,0.384,0.35	0.269		
1012	AT3G26890	NA	chr3	-	9908834	9909086	9908834	9909083	9909317	9910792	1012	1.40208181184228E+017	67,87,66,53,101,72	160,105,136,223,161,79	111,95,133,188,186,62	152	149	0.0000648982182171	0.0111161376631861	0.672,0.701,0.729,0.773,0.689,0.733	0.586,0.52,0.501,0.538,0.459,0.555	0.19		
1252	AT1G10590	NA	chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1252	5,5,4,0,11,4	26,32,33,19,33,27	6,5,2,9,8,5	2,0,7,3,3,1	194	149	5.23548711096E-06	0.00176123128709539	0.129,0.107,0.085,0.0,0.204,0.102	0.697,1.0,0.18,0.697,0.672,0.793	-0.569		
1359	AT5G58940	NA	chr5	+	23798051	23798908	23798654	23798908	23797445	23797765	1359	8,14,12,5,8,11	0,0,1,2,0,0	9,5,8,8,10,1	3,4,2,4,1,0	752	149	3.52208485688E-06	0.00140765991446637	1.0,1.0,0.704,0.331,1.0,1.0	0.373,0.199,0.442,0.284,0.665,1.0	0.345		
