gene	event	dpsi_Cai	p_val_Cai	dpsi_Wang	p_val_Wang
AT1G03310	A5:1:813604-813929:813581-813929:+	-0.4507000005	0.0	-0.2958404251	0.011988012
AT1G08060	A3:1:2507818-2508109:2507815-2508109:-	0.2616218744	0.0294705295	-0.7335516595	0.010989011
AT1G10740	A5:1:3567965-3568316:3567965-3568324:-	-0.3624001276	0.000999001	0.7598260836	0.0034965035
AT1G13880	A3:1:4749747-4749835:4749747-4749838:+	-0.2564870458	0.010989011	-0.2905004079	0.02997003
AT1G15280	A3:1:5253387-5253546:5253387-5253549:+	-0.1921149217	0.0034965035	-0.1517016687	0.035964036
AT1G16720	RI:1:5725669:5725725-5725825:5725902:+	-0.0483399951	0.0334665335	-0.0903362583	0.045954046
AT1G17110	A5:1:5848119-5848200:5848119-5848212:-	-0.1340927325	0.045954046	-0.2656201094	0.031968032
AT1G18840	A5:1:6503950-6504071:6503950-6504081:-	-0.1860495672	0.012987013	-0.2210178408	0.02997003
AT1G23080	A5:1:8182128-8182206:8182128-8182218:-	-0.4502530475	0.0	-0.3161140986	0.000999001
AT1G23360	RI:1:8296254:8296342-8296419:8296509:-	-0.1848437046	0.0114885115	-0.1862494428	0.0344655345
AT1G26850	A5:1:9303439-9303845:9303439-9303909:-	0.0747633111	0.0144855145	0.0730955461	0.040959041
AT1G30690	A5:1:10887850-10888276:10887827-10888276:+	-0.0573009336	0.0444555445	-0.1225820204	0.0274725275
AT1G31550	A5:1:11295912-11295991:11295912-11296000:-	0.2245433127	0.0074925075	0.2646171037	0.0454545455
AT1G34065	A5:1:12400883-12400965:12400883-12400986:-	-0.2380164084	0.044955045	-0.4297440091	0.036963037
AT1G48830	A3:1:18060978-18061243:18060963-18061243:-	0.0505887095	0.031968032	-0.1024251801	0.0124875125
AT1G55000	A5:1:20516205-20516272:20516178-20516272:+	0.1798662445	0.043956044	0.5072187649	0.047952048
AT1G65150	A3:1:24205571-24205694:24205563-24205694:-	0.2013980527	0.0374625375	0.6764915441	0.0084915085
AT1G67700	A5:1:25375726-25375804:25375712-25375804:+	-0.2757009132	0.0	-0.2069172612	0.000999001
AT1G68910	A5:1:25908380-25908565:25908380-25908569:-	-0.1319917917	0.044955045	-0.2556868328	0.031968032
AT1G69510	A3:1:26126477-26126772:26126477-26126777:+	0.0434289211	0.0374625375	0.05709493	0.047952048
AT1G70610	A5:1:26622797-26622941:26622786-26622941:+	-0.222148023	0.0004995005	-0.23687002	0.0204795205
AT1G72640	A3:1:27346919-27347085:27346899-27347085:-	-0.086553894	0.017982018	-0.1630060715	0.0097402597
AT1G72640	A3:1:27347661-27347770:27347658-27347770:-	0.1999449646	0.0014985015	0.1727673805	0.0097402597
AT1G72740	A5:1:27380901-27381147:27380901-27381165:-	0.1738768925	0.014985015	0.1649165437	0.0414585415
AT1G72930	A5:1:27439973-27440072:27439930-27440072:+	-0.1258715668	0.000999001	-0.1393727738	0.004995005
AT2G01420	A5:2:181847-182005:181847-182017:-	-0.3571709625	0.0	-0.2750388337	0.010989011
AT2G17500	A5:2:7606870-7606944:7606823-7606944:+	0.5075756794	0.002997003	0.9111104701	0.008991009
AT2G26600	A5:2:11316793-11316999:11316613-11316999:+	-0.1335525819	0.0464535465	-0.2721391879	0.042957043
AT2G34900	A5:2:14725183-14725545:14725183-14725584:-	-0.2138195904	0.011988012	-0.1810575091	0.0344655345
AT2G39730	A5:2:16571066-16571180:16571066-16571191:-	-0.251396423	0.0	-0.194432213	0.0014985015
AT3G01340	A5:3:128483-128880:128483-128892:-	0.0840491287	0.025974026	-0.2564196747	0.0014985015
AT3G03770	A3:3:948795-948879:948736-948879:-	0.1171060284	0.045954046	0.743824598	0.030969031
AT3G04630	A3:3:1259461-1259567:1259461-1259570:+	-0.1942741791	0.0054945055	-0.1880608676	0.010989011
AT3G05165	A3:3:1462786-1462903:1462783-1462903:-	-0.3470392965	0.0134865135	-0.2099352179	0.0217282717
AT3G07510	A5:3:2394486-2394568:2394486-2394574:-	0.3600233865	0.003996004	0.3041445068	0.0224775225
AT3G11930	A3:3:3776659-3776910:3776659-3776916:+	0.1333430326	0.028971029	0.153831381	0.012987013
AT3G11930	A3:3:3776659-3776913:3776659-3776916:+	0.1099562235	0.028971029	0.12933317	0.012987013
AT3G19770	A3:3:6867748-6867839:6867748-6867843:+	-0.1810823182	0.034965035	-0.2615690811	0.030969031
AT3G21175	A5:3:7423334-7423408:7423328-7423408:+	0.2980766083	0.0024975025	0.4784205778	0.0024975025
AT3G24530	RI:3:8947110:8947208-8947286:8947396:-	-0.21203655	0.0034965035	-0.1588184437	0.045954046
AT3G52170	A3:3:19349146-19349394:19349132-19349394:-	-0.1570240591	0.040959041	-0.2062469565	0.04995005
AT3G54760	RI:3:20269642:20270980-20271074:20272046:-	-0.0757290825	0.043956044	-0.1445421724	0.0374625375
AT3G57050	A5:3:21114059-21114162:21114059-21114207:-	0.1886867571	0.006993007	0.18973497	0.034965035
AT3G62840	A3:3:23236114-23236488:23236111-23236488:-	-0.1410276404	0.0024975025	-0.0858580264	0.0294705295
AT3G63460	A5:3:23434825-23434944:23434825-23434950:-	0.3863730251	0.0	0.4488601144	0.002997003
AT4G14965	A5:4:8552769-8552924:8552747-8552924:+	0.2321128071	0.0014985015	0.3589742291	0.003996004
AT4G17570	A5:4:9785903-9785984:9785903-9785996:-	-0.5635815132	0.0004995005	-0.3234830366	0.0204795205
AT4G20930	SE:4:11200416-11200523:11200611-11200923:-	0.1638871016	0.0464535465	-0.3997437699	0.0214785215
AT4G23910	A5:4:12426729-12427055:12426711-12427055:+	0.493785822	0.0	0.1983146136	0.0454545455
AT4G24470	A5:4:12647548-12647609:12647524-12647609:+	0.269789022	0.0084915085	-0.1959634928	0.02997003
AT4G26400	A5:4:13346067-13346388:13346067-13346405:-	-0.2878146618	0.002997003	-0.2535952647	0.016983017
AT4G26630	A5:4:13434925-13435596:13434925-13435652:-	0.1117598104	0.0044955045	0.2627470284	0.0014985015
AT4G26650	SE:4:13445267-13445449:13445563-13445737:+	-0.1195836072	0.033966034	-0.1470969429	0.0384615385
AT4G26965	A5:4:13539832-13540218:13539828-13540218:+	-0.5302885976	0.0024975025	-0.309819381	0.0344655345
AT4G27900	RI:4:13890472:13890726-13890819:13890965:+	0.1740568531	0.011988012	-0.5593840086	0.0004995005
AT4G33650	A3:4:16164871-16164960:16164871-16164963:+	0.1471153398	0.023976024	0.2876714626	0.0244755245
AT4G39100	A3:4:18218753-18219336:18218733-18219336:-	-0.1266086026	0.0124875125	-0.1342794122	0.0414585415
AT4G40050	A5:4:18561884-18561989:18561884-18561993:-	-0.3654910974	0.000999001	-0.3370854639	0.0114885115
AT5G11630_and_AT5G11640	A5:5:3740942-3741504:3740877-3741504:+	0.3762786177	0.00999001	0.3203829022	0.024975025
AT5G13800	SE:5:4454150-4454310:4454360-4454512:-	-0.1513607984	0.02997003	-0.2305679206	0.0404595405
AT5G18620	A5:5:6196207-6196327:6196207-6196336:-	-0.3593029906	0.0004995005	-0.3406284889	0.008991009
AT5G26940	A5:5:9480786-9481353:9480770-9481353:+	0.3333333333	0.0314685315	0.5	0.005994006
AT5G26940	AF:5:9480308:9480699-9481353:9480702:9480770-9481353:+	0.1529687235	0.04995005	0.3879055993	0.0142357642
AT5G26940	AF:5:9480308:9480699-9481353:9480716:9480786-9481353:+	-0.1661657117	0.04995005	-0.3610313901	0.0314685315
AT5G38520	A3:5:15422380-15422477:15422380-15422513:+	-0.0776264259	0.0174825175	0.0564884281	0.043956044
AT5G42940	A5:5:17219258-17220362:17219258-17220386:-	0.1521845392	0.031968032	0.3887962315	0.0104895105
AT5G51410	A3:5:20881393-20881525:20881386-20881525:-	0.38715986	0.003996004	-0.7046137381	0.001998002
AT5G61150	A5:5:24603983-24604075:24603983-24604081:-	0.2015948525	0.0014985015	0.1880453645	0.015984016
AT5G61410	A3:5:24683858-24684045:24683852-24684045:-	0.1087518456	0.0014985015	0.0678873207	0.0204795205
AT5G62300	A3:5:25022249-25022356:25022246-25022356:-	-0.0423693027	0.014985015	0.0540454039	0.02997003
