gene	event	dpsi_Sun	p_val_Sun	dpsi_Wang	p_val_Wang
AT1G03310	A5:1:813604-813929:813581-813929:+	-0.2713843653	0.005994006	-0.2958404251	0.011988012
AT1G10740	A5:1:3567965-3568316:3567965-3568324:-	-0.5	0.00999001	0.7598260836	0.0034965035
AT1G13880	A3:1:4749747-4749835:4749747-4749838:+	-0.2841929189	0.008991009	-0.2905004079	0.02997003
AT1G15280	A3:1:5253387-5253546:5253387-5253549:+	-0.2298942641	0.002997003	-0.1517016687	0.035964036
AT1G23080	A5:1:8182128-8182206:8182128-8182218:-	-0.4390448702	0.000999001	-0.3161140986	0.000999001
AT1G23360	RI:1:8296254:8296342-8296419:8296509:-	-0.1843193051	0.0054945055	-0.1862494428	0.0344655345
AT1G26850	A5:1:9303439-9303845:9303439-9303909:-	0.1622542076	0.0074925075	0.0730955461	0.040959041
AT1G30690	A5:1:10887850-10888276:10887827-10888276:+	-0.1112566472	0.014985015	-0.1225820204	0.0274725275
AT1G30890	AF:1:10994243:10994415-10994888:10994440:10994473-10994888:+	0.117157307	0.0434565435	0.1947296867	0.0334665335
AT1G31550	A5:1:11295912-11295991:11295912-11296000:-	0.5707094016	0.0064935065	0.2646171037	0.0454545455
AT1G51840	A3:1:19250211-19250605:19250199-19250605:-	0.4095572322	0.034965035	-0.57633882	0.017982018
AT1G52370	AF:1:19506356:19506522-19507018:19506617:19506765-19507018:+	-0.1801696358	0.03996004	-0.4545066838	0.014985015
AT1G52370	AF:1:19506356:19506571-19507018:19506617:19506765-19507018:+	-0.395222261	0.03996004	-0.7183079128	0.0312187812
AT1G67700	A5:1:25375726-25375804:25375712-25375804:+	-0.2568373866	0.0	-0.2069172612	0.000999001
AT1G69510	A3:1:26126477-26126772:26126477-26126777:+	0.065219359	0.0274725275	0.05709493	0.047952048
AT1G70610	A5:1:26622797-26622941:26622786-26622941:+	-0.2477719115	0.0094905095	-0.23687002	0.0204795205
AT1G72640	A3:1:27346919-27347085:27346899-27347085:-	-0.0734202423	0.0412087912	-0.1630060715	0.0097402597
AT1G72640	A3:1:27347661-27347770:27347658-27347770:-	0.2377289225	0.0044955045	0.1727673805	0.0097402597
AT1G72930	A5:1:27439973-27440072:27439930-27440072:+	-0.1060168621	0.0204795205	-0.1393727738	0.004995005
AT2G01420	A5:2:181847-182005:181847-182017:-	-0.3836747273	0.001998002	-0.2750388337	0.010989011
AT2G02390	A3:2:629353-629518:629353-629539:+	0.1042322447	0.0134865135	0.1202278201	0.0474525475
AT2G02960	A3:2:864087-864248:864020-864248:-	-0.2848364461	0.035964036	-0.869644878	0.044955045
AT2G17500	A5:2:7606870-7606944:7606823-7606944:+	0.4082309166	0.000999001	0.9111104701	0.008991009
AT2G22250	A3:2:9460338-9460853:9460285-9460853:-	-0.4446109218	0.004995005	0.1647668014	0.0494505495
AT2G29200	AF:2:12553191-12553277:12553623:12553191-12553637:12553711:-	0.2473220209	0.016983017	-0.2261083744	0.047952048
AT2G39730	A5:2:16571066-16571180:16571066-16571191:-	-0.2397589348	0.0	-0.194432213	0.0014985015
AT2G48130	RI:2:19683710:19683832-19684144:19685390:-	0.2867249988	0.0204795205	0.4412072687	0.010989011
AT3G01340	A5:3:128483-128880:128483-128892:-	0.1343739536	0.013986014	-0.2564196747	0.0014985015
AT3G04630	A3:3:1259461-1259567:1259461-1259570:+	-0.1350814567	0.018981019	-0.1880608676	0.010989011
AT3G05600	RI:3:1623244:1623752-1623820:1624070:-	-0.249945568	0.0054945055	-0.2070485	0.0274725275
AT3G07510	A5:3:2394486-2394568:2394486-2394574:-	0.1820349633	0.021978022	0.3041445068	0.0224775225
AT3G11930	A3:3:3776659-3776910:3776659-3776916:+	0.0927791925	0.042957043	0.153831381	0.012987013
AT3G11930	A3:3:3776659-3776913:3776659-3776916:+	0.0670308531	0.042957043	0.12933317	0.012987013
AT3G14860	A3:3:4999232-4999321:4999229-4999321:-	-0.144959696	0.0274725275	-0.2373128546	0.02997003
AT3G21175	A5:3:7423334-7423408:7423328-7423408:+	0.3246139548	0.002997003	0.4784205778	0.0024975025
AT3G22900	A5:3:8115279-8115635:8115269-8115635:+	-0.3392553455	0.0304695305	-0.5202757251	0.031968032
AT3G23590_and_AT3G23600	A3:3:8474895-8474990:8474895-8474999:+	-0.0535069068	0.031968032	0.0520586629	0.042957043
AT3G24530	RI:3:8947110:8947208-8947286:8947396:-	-0.1908722308	0.0224775225	-0.1588184437	0.045954046
