ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference		
10	AT5G65210	NA	chr5	+	26058594	26059201	26059019	26059201	26057817	26058028	10	43,68,33,25,58,50	11,23,13,18,16,13	53,27,42,50,55,26	2,3,5,3,3,1	574	149	2.98642430008E-06	0.00178737494359788	0.504,0.434,0.397,0.265,0.485,0.5	0.873,0.7,0.686,0.812,0.826,0.871	-0.364		
464	AT4G30820	NA	chr4	+	15007106	15007675	15007601	15007675	15006647	15006702	464	33,64,57,46,68,51	4,3,9,2,8,5	38,28,39,50,45,23	1,2,0,0,3,0	644	149	0.0000999632058243	0.0220934995901035	0.656,0.832,0.594,0.842,0.663,0.702	0.898,0.764,1.0,1.0,0.776,1.0	-0.192		
792	AT5G64520	NA	chr5	+	25790175	25790436	25790218	25790436	25789986	25790090	792	10,6,3,5,7,3	2,5,2,1,4,0	2,3,1,3,0,0	8,1,11,9,2,2	192	149	0.000029941712633	0.0091483127163274	0.795,0.482,0.538,0.795,0.576,1.0	0.162,0.7,0.066,0.206,0.0,0.0	0.509		
895	AT4G26140	NA	chr4	-	13244507	13244689	13244507	13244683	13244784	13244946	895	16,31,24,18,32,24	6,11,12,5,13,19	12,4,6,6,5,4	16,13,17,14,24,6	155	149	8.27406527848E-07	0.000660270409222704	0.719,0.73,0.658,0.776,0.703,0.548	0.419,0.228,0.253,0.292,0.167,0.391	0.397		
898	AT2G40670	NA	chr2	+	16970839	16970913	16970842	16970913	16970684	16970762	898	0,1,2,1,2,1	8,12,12,3,7,7	3,12,4,16,8,7	15,9,12,11,14,3	152	149	0.000187348494179	0.0345009457741943	0.0,0.076,0.14,0.246,0.219,0.123	0.164,0.567,0.246,0.588,0.359,0.696	-0.303		
969	AT5G60170	NA	chr5	+	24229699	24229832	24229705	24229832	24229463	24229555	969	31,45,38,62,68,46	15,13,17,12,24,14	32,24,29,57,36,15	26,24,29,47,47,16	155	149	0.000101515662277	0.0220934995901035	0.665,0.769,0.682,0.832,0.731,0.76	0.542,0.49,0.49,0.538,0.424,0.474	0.247		
1015	AT2G30740	NA	chr2	+	13095593	13096492	13095636	13096492	13095322	13095484	1015	8,10,4,4,9,10	4,13,16,7,15,23	14,9,13,15,34,4	2,4,7,2,8,2	192	149	0.0000343921530689	0.0091483127163274	0.608,0.374,0.162,0.307,0.318,0.252	0.845,0.636,0.59,0.853,0.767,0.608	-0.38		
1241	AT1G10590	NA	chr1	-	3502762	3503049	3502762	3503004	3503369	3503437	1241	3,6,2,4,6,1	25,29,35,22,25,27	5,3,2,12,11,3	3,0,0,3,1,1	194	149	3.07409653288E-12	7.35938709971472E-09	0.084,0.137,0.042,0.123,0.156,0.028	0.561,1.0,1.0,0.754,0.894,0.697	-0.723		
1387	AT1G07170	NA	chr1	+	2200329	2201049	2200462	2201049	2200173	2200219	1387	6,6,3,2,20,13	4,6,3,4,3,4	7,6,3,6,13,2	0,0,4,0,0,0	282	149	0.0000041277096493	0.00197634738008484	0.442,0.346,0.346,0.209,0.779,0.632	1.0,1.0,0.284,1.0,1.0,1.0	-0.422		
1461	AT3G04630	NA	chr3	+	1259566	1259661	1259569	1259661	1259226	1259461	1461	62,62,58,43,63,40	55,72,64,38,75,68	96,53,58,106,110,38	41,21,12,48,41,22	152	149	0.0000323312060269	0.0091483127163274	0.525,0.458,0.47,0.526,0.452,0.366	0.697,0.712,0.826,0.684,0.725,0.629	-0.246		
1791	AT4G03110	NA	chr4	-	1377076	1377410	1377076	1377407	1377507	1377687	1791	8.51421191011501E+016	37,81,76,42,67,52	1.83131141181161E+017	28,14,17,15,29,17	152	149	3.83619823463E-07	0.000459192928685211	0.692,0.632,0.606,0.702,0.687,0.733	0.865,0.902,0.89,0.922,0.845,0.853	-0.204		
1848	AT1G58025	NA	chr1	-	21459370	21459431	21459370	21459428	21460033	21460268	1848	40,39,54,22,34,37	29,24,30,26,34,33	17,19,9,23,19,12	38,39,31,58,46,21	152	149	0.000116903596923	0.0233222675861385	0.575,0.614,0.638,0.453,0.495,0.524	0.305,0.323,0.222,0.28,0.288,0.359	0.254		
2384	AT2G37480	NA	chr2	+	15739249	15739848	15739252	15739848	15738603	15738899	2384	4.15550486459653E+017	1.42211198152259E+017	5.82349454638707E+017	92,42,62,91,82,27	152	149	0.0000169147884902	0.0067490006075898	0.741,0.719,0.706,0.747,0.712,0.738	0.861,0.891,0.878,0.873,0.894,0.894	-0.155		
68	AT5G44750	NA	chr5	+	18056513	18056585	18056513	18056573	18056667	18056754	68	4,10,10,6,14,5	4,10,9,5,8,7	0,3,0,4,4,2	22,8,8,19,9,3	161	149	0.0000718326807838	0.002182407447086	0.481,0.481,0.507,0.526,0.618,0.398	0.0,0.258,0.0,0.163,0.291,0.382	0.32		
122	AT5G18820	NA	chr5	+	6271953	6272091	6271953	6272075	6272195	6272403	122	0,2,3,5,5,2	3,12,22,7,4,9	9,7,3,3,4,1	1,2,0,1,3,5	165	149	0.000923118668181	0.0223555260076877	0.0,0.131,0.11,0.392,0.53,0.167	0.89,0.76,1.0,0.73,0.546,0.153	-0.458		
146	AT5G11630	NA	chr5	+	3740758	3740942	3740758	3740877	3741503	3741827	146	46,74,57,36,51,48	10,18,15,20,19,17	12,15,18,19,32,12	42,32,24,39,41,6	214	149	6.30798049905E-07	3.19413194360986E-05	0.762,0.741,0.726,0.556,0.651,0.663	0.166,0.246,0.343,0.253,0.352,0.582	0.36		
150	AT5G10940	NA	chr5	-	3452075	3452190	3452084	3452190	3451435	3451575	150	10,22,12,18,19,19	59,60,68,71,94,65	2,1,0,2,4,0	73,94,92,135,145,55	158	149	0.0000237767760194	0.000764057552469565	0.138,0.257,0.143,0.193,0.16,0.216	0.025,0.01,0.0,0.014,0.025,0.0	0.172		
