chr	5’SS	3’SS 1	3’SS 2	gene	strand	diff
5	5056550	5056209	5056217	AT5G15540	-	0.785
1	27347769	27347658	27347661	AT1G72640	-	0.194
1	35566	35471	35474	AT1G01060	-	-0.216
4	1377507	1377407	1377410	AT4G03110	-	-0.226
2	12227119	12226861	12227013	AT2G28550	-	-0.19
5	24559362	24559241	24559247	AT5G61020	-	0.238
3	2947983	2948155	2948177	AT3G09600	+	-0.225
5	3249436	3249320	3249333	AT5G10330	-	-0.328
4	13244784	13244683	13244689	AT4G26140	-	0.307
1	27347084	27346899	27346919	AT1G72640	-	-0.154
1	27347769	27347658	27347661	AT1G72640	-	0.163
3	9909317	9909083	9909086	AT3G26890	-	0.18
4	9686443	9685454	9685710	AT4G17310	-	-0.358
4	9686443	9685454	9686024	AT4G17310	-	-0.277
1	3503369	3503004	3503049	AT1G10590	-	-0.576
3	19349393	19349132	19349146	AT3G52170	-	-0.315
4	1377507	1377407	1377410	AT4G03110	-	-0.204
1	21460033	21459428	21459431	AT1G58025	-	0.195
2	549519	549318	549322	AT2G02148	-	-0.431
1	10275293	10275147	10275219	AT1G29357	-	0.193
2	18571329	18571165	18571179	AT2G45023	-	-0.186
5	24559362	24559241	24559247	AT5G61020	-	0.181
5	7111195	7110797	7110819	AT5G20950	-	-0.168
5	26058028	26058594	26059019	AT5G65210	+	-0.355
5	24348026	24348367	24348379	AT5G60570	+	-0.166
5	21501767	21501851	21501854	AT5G53020	+	-0.281
4	16164871	16164959	16164962	AT4G33650	+	0.158
4	1070886	1071273	1071284	AT4G02430	+	0.208
5	24229555	24229699	24229705	AT5G60170	+	0.226
2	13095484	13095593	13095636	AT2G30740	+	-0.29
1	16911132	16911209	16911212	AT1G44780	+	0.249
5	6461898	6461991	6461995	AT5G19210	+	0.245
3	1259461	1259566	1259569	AT3G04630	+	-0.207
1	5253387	5253545	5253548	AT1G15280	+	-0.204
1	4749747	4749834	4749837	AT1G13880	+	-0.232
3	10070372	10070618	10070645	AT3G27260	+	-0.232
2	13869938	13870116	13870122	AT2G32700	+	0.189
2	15738899	15739249	15739252	AT2G37480	+	-0.15
2	19537529	19537859	19537862	AT2G47640	+	-0.22
3	2414825	2415060	2415063	AT3G07565	+	0.171
3	2947983	2948155	2948177	AT3G09600	+	-0.248
5	4772712	4772586	4772589	AT5G14770	-	-0.546
5	5326620	5326521	5326524	AT5G16280	-	-0.309
1	27347769	27347658	27347661	AT1G72640	-	0.202
3	9909317	9909083	9909086	AT3G26890	-	0.259
4	9686443	9685454	9685710	AT4G17310	-	-0.502
4	9686443	9685454	9686024	AT4G17310	-	-0.539
1	3503369	3503004	3503049	AT1G10590	-	-0.863
5	26600053	26600147	26600150	AT5G66640	+	-0.767
4	15006702	15007106	15007601	AT4G30820	+	-0.439
5	17526859	17526961	17527240	AT5G43630	+	-0.513
2	15576164	15576311	15576335	AT2G37060	+	0.271
1	2200219	2200329	2200462	AT1G07170	+	-0.46
5	3632653	3632732	3632737	AT5G11380	+	-0.386
2	19537529	19537859	19537862	AT2G47640	+	-0.211
5	5757541	5757450	5757464	AT5G17460	-	0.594
5	3249957	3249837	3249870	AT5G10330	-	-0.446
5	17668073	17667956	17667968	AT5G43910	-	0.906
5	17668073	17667956	17667987	AT5G43910	-	0.439
5	18238734	18238613	18238644	AT5G45115	-	-0.504
3	20267809	20267726	20267729	AT3G54750	-	-0.368
4	15476095	15475966	15475969	AT4G32000	-	0.669
1	4009798	4009648	4009670	AT1G11880	-	-0.849
3	21780245	21780014	21780122	AT3G58930	-	-0.641
2	13653746	13653414	13653427	AT2G32120	-	0.683
2	15246849	15246743	15246762	AT2G36360	-	0.909
3	9800814	9800608	9800684	AT3G26670	-	0.427
4	16164871	16164959	16164962	AT4G33650	+	0.264
2	7384249	7385434	7385515	AT2G16990	+	0.571
1	8465895	8466015	8466018	AT1G23935	+	0.492
1	4749747	4749834	4749837	AT1G13880	+	-0.307
2	13892325	13892577	13892599	AT2G32760	+	0.445
