ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67430"	NA	chr5	+	26910204	26910830	26910204	26910593	26910669	26910830	0	0,1	16,12	0,0,3,2	12,10,18,23	225	149	1	1.0	0.0,0.052	0.0,0.0,0.099,0.054	-0.012
1	"AT5G67385"	NA	chr5	+	26884202	26884982	26884202	26884809	26884912	26884982	1	47,66	98,135	37,45,55,44	101,114,106,144	252	149	1	1.0	0.221,0.224	0.178,0.189,0.235,0.153	0.034
2	"AT5G67385"	NA	chr5	+	26884912	26885699	26884912	26884982	26885084	26885699	2	11,19	139,176	18,14,15,44	114,140,148,147	251	149	1	1.0	0.045,0.06	0.086,0.056,0.057,0.151	-0.035
3	"AT5G67110"	NA	chr5	-	26785617	26785827	26785617	26785683	26785761	26785827	3	17,20	36,30	3,9,6,17	23,37,32,34	227	149	0.66627350366	1.0	0.237,0.304	0.079,0.138,0.11,0.247	0.127
4	"AT5G66810"	NA	chr5	+	26674949	26675816	26674949	26675494	26675618	26675816	4	14,14	65,96	11,16,12,19	92,73,71,112	273	149	1	1.0	0.105,0.074	0.061,0.107,0.084,0.085	0.005
5	"AT5G66810"	NA	chr5	+	26675618	26676255	26675618	26675816	26675913	26676255	5	6,15	81,102	10,14,17,24	71,89,99,106	246	149	1	1.0	0.043,0.082	0.079,0.087,0.094,0.121	-0.033
6	"AT5G66558"	NA	chr5	-	26563997	26566847	26563997	26564383	26564530	26566847	6	5,13	3,2	11,16,21,23	3,8,1,3	296	149	1	1.0	0.456,0.766	0.649,0.502,0.914,0.794	-0.104
7	"AT5G66450"	NA	chr5	+	26534615	26535133	26534615	26534688	26534780	26535133	7	34,62	0,0	33,31,46,46	0,0,1,2	241	149	1	1.0	1.0,1.0	1.0,1.0,0.966,0.934	0.025
8	"AT5G66240"	NA	chr5	+	26466173	26466443	26466173	26466274	26466363	26466443	8	210,202	24,17	145,116,149,177	21,10,22,23	238	149	1	1.0	0.846,0.882	0.812,0.879,0.809,0.828	0.032
9	"AT5G66110"	NA	chr5	+	26430391	26431351	26430391	26430815	26430908	26431351	9	2,1	0,1	1,2,2,3	3,0,0,3	242	149	0.36815681006	1.0	1.0,0.381	0.17,1.0,1.0,0.381	0.053
10	"AT5G66055"	NA	chr5	-	26417635	26417912	26417635	26417734	26417813	26417912	10	61,52	242,275	44,46,40,85	310,314,270,368	228	149	1	1.0	0.141,0.11	0.085,0.087,0.088,0.131	0.028
11	"AT5G66040"	NA	chr5	+	26410731	26410993	26410731	26410805	26410868	26410993	11	287,304	2502,2867	363,369,535,674	3083,3015,4082,4592	212	149	1	1.0	0.075,0.069	0.076,0.079,0.084,0.094	-0.011
12	"AT5G65970"	NA	chr5	-	26388353	26388669	26388353	26388389	26388495	26388669	12	31,41	38,31	43,31,27,63	68,59,60,66	255	149	0.88190533819	1.0	0.323,0.436	0.27,0.235,0.208,0.358	0.112
13	"AT5G65940"	NA	chr5	-	26377037	26377257	26377037	26377079	26377155	26377257	13	43,48	202,184	62,49,22,56	223,218,237,334	225	149	1	1.0	0.124,0.147	0.155,0.13,0.058,0.1	0.025
14	"AT5G65690"	NA	chr5	+	26268827	26269249	26268827	26268997	26269080	26269249	14	0,3	7,4	2,0,0,2	14,13,17,20	232	149	1	1.0	0.0,0.325	0.084,0.0,0.0,0.06	0.127
15	"AT5G65460"	NA	chr5	-	26161623	26162539	26161623	26162283	26162380	26162539	15	10,12	39,52	5,13,8,13	53,58,49,56	246	149	1	1.0	0.134,0.123	0.054,0.12,0.09,0.123	0.032
16	"AT5G65460"	NA	chr5	-	26162380	26162778	26162380	26162539	26162637	26162778	16	3,8	31,58	11,5,7,13	54,31,35,43	247	149	1	1.0	0.055,0.077	0.109,0.089,0.108,0.154	-0.049
17	"AT5G65440"	NA	chr5	+	26152121	26152463	26152121	26152251	26152374	26152463	17	41,64	19,15	58,57,55,68	24,24,27,36	272	149	1	1.0	0.542,0.7	0.57,0.565,0.527,0.509	0.078
18	"AT5G65440"	NA	chr5	+	26153689	26154169	26153689	26153795	26153897	26154169	18	0,0	26,46	2,0,1,0	37,38,54,69	251	149	1	1.0	0.0,0.0	0.031,0.0,0.011,0.0	-0.01
19	"AT5G65440"	NA	chr5	+	26156305	26156655	26156305	26156500	26156583	26156655	19	36,30	69,48	67,59,50,42	57,58,62,96	232	149	1	1.0	0.251,0.286	0.43,0.395,0.341,0.219	-0.078
20	"AT5G65180"	NA	chr5	+	26045326	26046134	26045326	26045700	26045886	26046134	20	2,2	29,22	3,4,0,2	25,25,20,45	335	149	1	1.0	0.03,0.039	0.051,0.066,0.0,0.019	0.001
21	"AT5G65120"	NA	chr5	+	26014001	26014313	26014001	26014055	26014131	26014313	21	0,1	33,22	3,0,2,0	31,36,32,44	225	149	1	1.0	0.0,0.029	0.06,0.0,0.04,0.0	-0.011
22	"AT5G65060"	NA	chr5	+	25990613	25991412	25990613	25990655	25990963	25991412	22	25,28	99,98	17,10,16,35	101,89,67,110	457	149	1	1.0	0.076,0.085	0.052,0.035,0.072,0.094	0.017
23	"AT5G64700"	NA	chr5	-	25865418	25865824	25865418	25865570	25865665	25865824	23	12,15	24,20	10,8,5,4	11,22,23,20	244	149	0.945929413802	1.0	0.234,0.314	0.357,0.182,0.117,0.109	0.083
24	"AT5G64630"	NA	chr5	+	25835674	25836400	25835674	25835775	25835841	25836400	24	4,12	15,10	8,5,6,11	16,24,20,21	215	149	1	1.0	0.156,0.454	0.257,0.126,0.172,0.266	0.1
26	"AT5G64360"	NA	chr5	-	25736244	25736890	25736244	25736550	25736688	25736890	26	37,21	23,16	35,29,30,31	17,12,20,38	287	149	1	1.0	0.455,0.405	0.517,0.556,0.438,0.298	-0.022
27	"AT5G64330"	NA	chr5	+	25727802	25728563	25727802	25727872	25727954	25728563	27	3,2	113,131	2,7,2,5	130,128,199,267	231	149	1	1.0	0.017,0.01	0.01,0.034,0.006,0.012	-0.002
28	"AT5G64170"	NA	chr5	-	25672465	25673005	25672465	25672718	25672810	25673005	28	35,42	0,0	27,38,76,75	1,2,0,0	241	149	1	1.0	1.0,1.0	0.943,0.922,1.0,1.0	0.034
29	"AT5G64130"	NA	chr5	-	25664981	25665167	25664981	25665029	25665104	25665167	29	14,13	1655,1779	19,13,6,7	1841,1682,1516,1920	224	149	1	1.0	0.006,0.005	0.007,0.005,0.003,0.002	0.001
30	"AT5G64130"	NA	chr5	-	25665104	25665372	25665104	25665167	25665258	25665372	30	51,44	1406,1454	50,39,56,45	1384,1425,1283,1520	240	149	1	1.0	0.022,0.018	0.022,0.017,0.026,0.018	-0.001
31	"AT5G63870"	NA	chr5	-	25561704	25562434	25561704	25561851	25561939	25562434	31	4,3	139,94	7,13,6,10	90,90,145,131	237	149	1	1.0	0.018,0.02	0.047,0.083,0.025,0.046	-0.031
32	"AT5G63760"	NA	chr5	-	25515877	25516918	25515877	25516074	25516184	25516918	32	38,71	0,0	59,45,65,52	0,1,1,0	259	149	1	1.0	1.0,1.0	1.0,0.963,0.974,1.0	0.016
33	"AT5G63700"	NA	chr5	-	25494356	25494637	25494356	25494407	25494577	25494637	33	11,8	66,28	66,80,89,71	18,16,26,18	319	149	0	0.0	0.072,0.118	0.631,0.7,0.615,0.648	-0.553
34	"AT5G63620"	NA	chr5	-	25466693	25467087	25466693	25466864	25466945	25467087	34	24,29	119,104	23,26,30,19	114,107,109,141	230	149	1	1.0	0.116,0.153	0.116,0.136,0.151,0.08	0.014
35	"AT5G63440"	NA	chr5	+	25407649	25407935	25407649	25407738	25407866	25407935	35	7,15	55,47	2,1,4,6	50,43,25,49	277	149	1	1.0	0.064,0.147	0.021,0.012,0.079,0.062	0.062
36	"AT5G63220"	NA	chr5	-	25353033	25353420	25353033	25353267	25353339	25353420	36	2,7	94,112	15,2,2,0	99,92,107,116	221	149	1	1.0	0.014,0.04	0.093,0.014,0.012,0.0	-0.003
39	"AT5G62880"	NA	chr5	+	25238562	25238812	25238562	25238628	25238699	25238812	39	19,41	222,210	16,31,14,8	213,273,249,250	220	149	1	1.0	0.055,0.117	0.048,0.071,0.037,0.021	0.042
40	"AT5G62480"	NA	chr5	-	25089239	25089626	25089239	25089295	25089373	25089626	40	57,61	14,5	58,47,66,94	8,4,12,16	227	149	1	1.0	0.728,0.889	0.826,0.885,0.783,0.794	-0.013
42	"AT5G62170"	NA	chr5	-	24973955	24975191	24973955	24975005	24975102	24975191	42	0,1	10,8	3,4,0,2	16,9,17,14	246	149	1	1.0	0.0,0.07	0.102,0.212,0.0,0.08	-0.064
43	"AT5G62170"	NA	chr5	-	24975102	24975632	24975102	24975191	24975264	24975632	43	3,1	5,10	6,3,1,2	8,12,16,20	222	149	1	1.0	0.287,0.063	0.335,0.144,0.04,0.063	0.029
44	"AT5G62165"	NA	chr5	+	24964645	24965256	24964645	24964959	24965037	24965256	44	1,1	3,5	0,0,0,4	0,2,1,2	227	149	1	1.0	0.18,0.116	NA,0.0,0.0,0.568	-0.041
45	"AT5G62165"	NA	chr5	+	24964645	24965256	24964645	24964959	24965049	24965256	45	3,1	2,5	0,0,0,4	1,1,7,6	239	149	0.683440389141	1.0	0.483,0.111	0.0,0.0,0.0,0.294	0.223
46	"AT5G62165"	NA	chr5	+	24967327	24967736	24967327	24967427	24967694	24967736	46	13,7	6,9	0,1,0,3	3,3,0,4	416	149	1	1.0	0.437,0.218	0.0,0.107,NA,0.212	0.221
47	"AT5G62165"	NA	chr5	+	24967327	24967882	24967327	24967427	24967840	24967882	47	19,15	1,7	2,2,0,3	0,2,2,0	562	149	0.254330124262	1.0	0.834,0.362	1.0,0.21,0.0,1.0	0.045
48	"AT5G62165"	NA	chr5	+	24967327	24967882	24967327	24967736	24967840	24967882	48	7,10	10,9	2,2,0,0	2,7,2,1	253	149	0.0111269976828	0.35008837354844546	0.292,0.396	0.371,0.144,0.0,0.0	0.215
49	"AT5G62000"	NA	chr5	+	24910357	24911012	24910357	24910610	24910712	24911012	49	37,45	193,214	33,28,48,41	159,157,262,312	251	149	1	1.0	0.102,0.111	0.11,0.096,0.098,0.072	0.012
50	"AT5G61960"	NA	chr5	-	24883405	24883573	24883405	24883459	24883550	24883573	50	99,116	0,0	97,90,114,167	0,0,2,1	240	149	1	1.0	1.0,1.0	1.0,1.0,0.973,0.99	0.009
52	"AT5G61960"	NA	chr5	-	24883550	24883955	24883550	24883573	24883907	24883955	52	0,5	1,0	4,3,1,3	3,1,3,3	483	149	1	1.0	0.0,1.0	0.291,0.481,0.093,0.236	0.225
53	"AT5G61960"	NA	chr5	-	24883691	24884174	24883691	24883955	24884059	24884174	53	0,0	2,0	0,0,2,3	0,0,4,0	253	149	1	1.0	0.0,NA	NA,NA,0.227,1.0	-0.614
55	"AT5G61910"	NA	chr5	-	24861062	24862336	24861062	24861815	24861911	24862336	55	50,69	1,0	56,38,82,89	0,0,0,0	245	149	1	1.0	0.968,1.0	1.0,1.0,1.0,1.0	-0.016
58	"AT5G61540"	NA	chr5	+	24745717	24746276	24745717	24745782	24745880	24746276	58	20,13	14,20	14,21,12,33	20,17,8,14	247	149	1	1.0	0.463,0.282	0.297,0.427,0.475,0.587	-0.074
59	"AT5G61500"	NA	chr5	-	24734384	24734706	24734384	24734512	24734640	24734706	59	37,44	172,181	51,50,36,37	144,163,171,184	277	149	1	1.0	0.104,0.116	0.16,0.142,0.102,0.098	-0.015
60	"AT5G61440"	NA	chr5	+	24708226	24709396	24708226	24708391	24708489	24709396	60	115,122	518,600	116,114,114,135	383,350,319,466	247	149	1	1.0	0.118,0.109	0.154,0.164,0.177,0.149	-0.048
61	"AT5G61310"	NA	chr5	-	24653260	24654918	24653260	24653752	24654795	24654918	61	101,92	36,28	98,141,132,173	34,32,22,54	1192	149	1	1.0	0.26,0.291	0.265,0.355,0.429,0.286	-0.058
62	"AT5G61280"	NA	chr5	-	24643560	24643993	24643560	24643825	24643911	24643993	62	0,0	5,8	1,2,0,1	7,5,15,5	235	149	1	1.0	0.0,0.0	0.083,0.202,0.0,0.113	-0.1
63	"AT5G61270"	NA	chr5	-	24639872	24640765	24639872	24640293	24640437	24640765	63	8,18	18,23	16,16,14,25	15,21,20,14	293	149	0.991810964753	1.0	0.184,0.285	0.352,0.279,0.263,0.476	-0.108
64	"AT5G60940"	NA	chr5	+	24523577	24523849	24523577	24523687	24523779	24523849	64	18,13	41,60	52,54,46,57	21,39,33,32	241	149	1.01520375217e-06	0.0001799521678134714	0.213,0.118	0.605,0.461,0.463,0.524	-0.348
65	"AT5G60930"	NA	chr5	-	24515280	24516738	24515280	24515955	24516060	24516738	65	12,14	56,77	12,6,14,19	79,90,69,126	254	149	1	1.0	0.112,0.096	0.082,0.038,0.106,0.081	0.027
66	"AT5G60590"	NA	chr5	+	24357702	24358248	24357702	24357878	24357944	24358248	66	2,3	7,9	4,6,11,6	13,2,10,7	215	149	0.313133058867	1.0	0.165,0.188	0.176,0.675,0.433,0.373	-0.238
67	"AT5G60590"	NA	chr5	+	24357702	24358248	24357702	24357878	24357956	24358248	67	6,3	52,50	9,11,17,10	62,90,58,83	227	149	1	1.0	0.07,0.038	0.087,0.074,0.161,0.073	-0.045
68	"AT5G60580"	NA	chr5	+	24353561	24354369	24353561	24354185	24354295	24354369	68	36,21	23,24	9,14,28,44	21,23,31,25	259	149	1	1.0	0.474,0.335	0.198,0.259,0.342,0.503	0.079
69	"AT5G60210"	NA	chr5	-	24245365	24245982	24245365	24245540	24245869	24245982	69	28,32	35,51	14,16,19,34	22,36,46,64	478	149	1	1.0	0.2,0.164	0.166,0.122,0.114,0.142	0.046
70	"AT5G60210"	NA	chr5	-	24245869	24247591	24245869	24245982	24246250	24247591	70	7,3	1,0	5,2,1,14	0,0,0,0	417	149	1	1.0	0.714,1.0	1.0,1.0,1.0,1.0	-0.143
73	"AT5G60120"	NA	chr5	+	24209970	24210409	24209970	24210074	24210295	24210409	73	43,63	21,19	84,60,55,71	28,24,43,56	370	149	1	1.0	0.452,0.572	0.547,0.502,0.34,0.338	0.08
74	"AT5G60120"	NA	chr5	+	24209970	24210409	24209970	24210095	24210295	24210409	74	8,12	157,158	39,16,15,31	144,134,193,220	349	149	1	1.0	0.021,0.031	0.104,0.049,0.032,0.057	-0.034
