ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G62575"	NA	chr5	+	25117686	25117755	25118053	25118156	25117413	25117601	25118494	25118892	0	25,25	186,162	13,20,18,43	163,178,181,204	218	252	1	1.0	0.134,0.151	0.084,0.115,0.103,0.196	0.018
1	"AT5G62575"	NA	chr5	+	25117689	25117755	25118053	25118156	25117487	25117601	25118494	25118735	1	8,7	186,162	7,12,7,15	163,178,181,204	215	252	1	1.0	0.048,0.048	0.048,0.073,0.043,0.079	-0.013
2	"AT5G54750"	NA	chr5	+	22242063	22242136	22242403	22242501	22241477	22241585	22242750	22242850	2	10,11	205,158	8,6,7,7	183,179,209,265	222	247	1	1.0	0.051,0.072	0.046,0.036,0.036,0.029	0.025
3	"AT5G54750"	NA	chr5	+	22242063	22242136	22242403	22242540	22241480	22241585	22242750	22242850	3	10,11	1,0	8,6,7,7	0,0,0,0	222	286	1	1.0	0.928,1.0	1.0,1.0,1.0,1.0	-0.036
4	"AT5G52070"	NA	chr5	+	21162074	21162208	21163726	21163968	21161222	21161353	21164079	21164196	4	0,0	39,27	1,0,0,0	18,22,33,32	283	298	1	1.0	0.0,0.0	0.055,0.0,0.0,0.0	-0.014
5	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163648	21161131	21161353	21163726	21163968	5	17,25	2,3	10,9,22,12	1,5,3,4	262	219	1	1.0	0.877,0.874	0.893,0.601,0.86,0.715	0.108
6	"AT5G52070"	NA	chr5	+	21162095	21162208	21163578	21163968	21161131	21161353	21164079	21164196	6	2,3	35,25	3,0,6,0	15,21,33,32	262	298	1	1.0	0.061,0.12	0.185,0.0,0.171,0.0	0.002
7	"AT5G52070"	NA	chr5	+	21162095	21162208	21163726	21163968	21161131	21161353	21164079	21164196	7	2,3	39,27	3,0,6,0	18,22,33,32	262	298	1	1.0	0.055,0.112	0.159,0.0,0.171,0.0	0.001
8	"AT5G42770"	NA	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	8	18,11	65,77	22,15,16,12	93,68,66,88	230	230	1	1.0	0.217,0.125	0.191,0.181,0.195,0.12	-0.001
10	"AT5G27950"	NA	chr5	+	9986489	9986527	9986646	9986774	9986134	9986353	9986851	9988018	10	18,25	114,77	37,23,33,49	125,139,156,161	187	277	1	1.0	0.19,0.325	0.305,0.197,0.239,0.311	-0.006
11	"AT5G23050"	NA	chr5	-	7732406	7732623	7732890	7732985	7732008	7732308	7733197	7733418	11	239,261	239,213	283,306,345,405	227,244,236,374	244	298	1	1.0	0.55,0.599	0.604,0.605,0.641,0.569	-0.03
13	"AT5G63000"	NA	chr5	-	25280591	25280847	25281035	25281140	25280398	25280476	25281424	25281652	13	210,167	136,157	148,98,102,155	106,67,64,111	254	298	1	1.0	0.644,0.555	0.621,0.632,0.652,0.621	-0.032
