ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781	0	2176,2097	5,8	1922,2033,1832,2325	5,1,7,5	238	149	1	1.0	0.996,0.994	0.996,0.999,0.994,0.997	-0.001
1	"AT5G67110"	NA	chr5	-	26785761	26785827	26785617	26785683	26785917	26785989	1	48,36	0,0	32,50,45,54	2,2,1,2	215	149	1	1.0	1.0,1.0	0.917,0.945,0.969,0.949	0.055
2	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511	2	53,81	1,0	80,66,57,112	4,0,0,1	298	149	1	1.0	0.964,1.0	0.909,1.0,1.0,0.982	0.009
3	"AT5G66540"	NA	chr5	-	26558271	26558359	26558077	26558188	26558479	26558535	3	277,336	1,4	237,295,274,396	0,0,0,0	237	149	1	1.0	0.994,0.981	1.0,1.0,1.0,1.0	-0.012
4	"AT5G66410"	NA	chr5	+	26521011	26521073	26520860	26520933	26521171	26521269	4	141,134	0,0	147,154,125,185	1,0,0,0	211	149	1	1.0	1.0,1.0	0.99,1.0,1.0,1.0	0.002
5	"AT5G66360"	NA	chr5	+	26510991	26511206	26510147	26510751	26511290	26511822	5	55,67	0,0	63,74,69,89	0,0,0,2	298	149	1	1.0	1.0,1.0	1.0,1.0,1.0,0.957	0.011
6	"AT5G66240"	NA	chr5	+	26467723	26467808	26467478	26467616	26467906	26467956	6	342,400	0,0	312,306,328,370	1,0,0,0	234	149	1	1.0	1.0,1.0	0.995,1.0,1.0,1.0	0.001
7	"AT5G66040"	NA	chr5	+	26410868	26410993	26410731	26410805	26411064	26411355	7	5195,5735	0,0	6482,6298,8386,9438	0,0,2,0	274	149	1	1.0	1.0,1.0	1.0,1.0,1.0,1.0	0.0
8	"AT5G65970"	NA	chr5	-	26388353	26388389	26388166	26388234	26388495	26388669	8	40,31	2,0	67,64,62,76	1,0,0,2	185	149	1	1.0	0.942,1.0	0.982,1.0,1.0,0.968	-0.017
9	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914	9	84,103	0,0	103,78,129,117	0,2,2,2	190	149	1	1.0	1.0,1.0	1.0,0.968,0.981,0.979	0.018
10	"AT5G65970"	NA	chr5	-	26388864	26388914	26388353	26388669	26388993	26389082	10	24,23	0,0	21,26,18,30	0,3,3,0	199	149	1	1.0	1.0,1.0	1.0,0.866,0.818,1.0	0.079
11	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558	11	56,55	1,0	51,53,72,73	0,2,0,0	238	149	1	1.0	0.972,1.0	1.0,0.943,1.0,1.0	0.0
12	"AT5G65970"	NA	chr5	-	26390078	26390136	26389823	26390008	26390206	26390676	12	58,44	0,0	84,67,66,87	0,1,0,0	207	149	1	1.0	1.0,1.0	1.0,0.98,1.0,1.0	0.005
13	"AT5G65960"	NA	chr5	+	26385688	26385824	26385546	26385607	26385915	26386243	13	517,482	0,0	466,511,533,721	1,0,0,0	285	149	1	1.0	1.0,1.0	0.996,1.0,1.0,1.0	0.001
14	"AT5G65940"	NA	chr5	-	26377519	26377580	26377323	26377422	26377814	26377936	14	276,265	0,0	273,319,312,391	0,0,0,1	210	149	1	1.0	1.0,1.0	1.0,1.0,1.0,0.996	0.001
15	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781	15	243,266	6,2	240,247,313,392	3,4,2,2	229	149	1	1.0	0.963,0.989	0.981,0.976,0.99,0.992	-0.009
16	"AT5G65810"	NA	chr5	-	26338907	26338947	26338763	26338802	26339030	26339175	16	132,175	0,0	180,177,187,257	0,0,1,0	189	149	1	1.0	1.0,1.0	1.0,1.0,0.993,1.0	0.002
17	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833	17	1,3	12,7	0,0,0,0	8,13,14,17	170	149	1	1.0	0.068,0.273	0.0,0.0,0.0,0.0	0.171
18	"AT5G65290"	NA	chr5	+	26093174	26093256	26092965	26093096	26093362	26093576	18	49,48	1,0	72,64,68,93	0,0,0,0	231	149	1	1.0	0.969,1.0	1.0,1.0,1.0,1.0	-0.016
19	"AT5G65210"	NA	chr5	+	26059788	26059852	26059622	26059700	26059934	26060206	19	258,272	0,0	247,306,332,375	0,0,0,3	213	149	1	1.0	1.0,1.0	1.0,1.0,1.0,0.989	0.003
20	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003	20	135,159	51,46	71,69,50,65	60,38,52,71	207	149	0.00443646295558	0.7902050991566164	0.656,0.713	0.46,0.567,0.409,0.397	0.226
21	"AT5G64650"	NA	chr5	-	25839926	25840004	25839243	25839692	25840097	25840189	21	188,183	0,1	164,139,181,272	0,0,0,0	227	149	1	1.0	1.0,0.992	1.0,1.0,1.0,1.0	-0.004
22	"AT5G64600"	NA	chr5	+	25826783	25826920	25826323	25826452	25827026	25827240	22	40,61	0,0	53,56,43,78	0,0,1,0	286	149	1	1.0	1.0,1.0	1.0,1.0,0.957,1.0	0.011
23	"AT5G64580"	NA	chr5	-	25819254	25819380	25819064	25819174	25819451	25819526	23	396,473	0,0	305,325,335,419	1,0,0,1	275	149	1	1.0	1.0,1.0	0.994,1.0,1.0,0.996	0.003
