ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"AT5G67590"	NA	chr5	+	26958378	26958467	26957914	26958231	26958651	26958781
1	"AT5G67110"	NA	chr5	-	26785761	26785827	26785617	26785683	26785917	26785989
2	"AT5G66900"	NA	chr5	-	26715879	26716076	26714722	26715763	26716158	26716511
3	"AT5G66540"	NA	chr5	-	26558271	26558359	26558077	26558188	26558479	26558535
4	"AT5G66410"	NA	chr5	+	26521011	26521073	26520860	26520933	26521171	26521269
5	"AT5G66360"	NA	chr5	+	26510991	26511206	26510147	26510751	26511290	26511822
6	"AT5G66240"	NA	chr5	+	26467723	26467808	26467478	26467616	26467906	26467956
7	"AT5G66040"	NA	chr5	+	26410868	26410993	26410731	26410805	26411064	26411355
8	"AT5G65970"	NA	chr5	-	26388353	26388389	26388166	26388234	26388495	26388669
9	"AT5G65970"	NA	chr5	-	26388740	26388781	26388353	26388669	26388864	26388914
10	"AT5G65970"	NA	chr5	-	26388864	26388914	26388353	26388669	26388993	26389082
11	"AT5G65970"	NA	chr5	-	26389335	26389424	26389157	26389232	26389497	26389558
12	"AT5G65970"	NA	chr5	-	26390078	26390136	26389823	26390008	26390206	26390676
13	"AT5G65960"	NA	chr5	+	26385688	26385824	26385546	26385607	26385915	26386243
14	"AT5G65940"	NA	chr5	-	26377519	26377580	26377323	26377422	26377814	26377936
15	"AT5G65940"	NA	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781
16	"AT5G65810"	NA	chr5	-	26338907	26338947	26338763	26338802	26339030	26339175
17	"AT5G65460"	NA	chr5	-	26167402	26167423	26167163	26167295	26167726	26167833
18	"AT5G65290"	NA	chr5	+	26093174	26093256	26092965	26093096	26093362	26093576
19	"AT5G65210"	NA	chr5	+	26059788	26059852	26059622	26059700	26059934	26060206
20	"AT5G65060"	NA	chr5	+	25989670	25989728	25987308	25987711	25989941	25990003
21	"AT5G64650"	NA	chr5	-	25839926	25840004	25839243	25839692	25840097	25840189
22	"AT5G64600"	NA	chr5	+	25826783	25826920	25826323	25826452	25827026	25827240
23	"AT5G64580"	NA	chr5	-	25819254	25819380	25819064	25819174	25819451	25819526
24	"AT5G64540"	NA	chr5	-	25800992	25801082	25800784	25800842	25801184	25801302
25	"AT5G64500"	NA	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052
